View,Name of Firm,Trade Name,unknown,unknown,"Address, line 1",City,State,Zip,Capabilities Narrative
937,Cole's Custom Cleaning ,,Laurie C Cole,,490 Williams Lake Rd,Colville,WA,99114-8631,We provide janitorial services for businesses and residential locations. We clean carpets in business locations and private residents. We clean windows. We also do flood dryout and restoration services. We provide fire cleanup and restoration services. We provide these services for businesses and private homeowners.
938,"Wuesthoff Excavation, Inc.",Wuesthoff Logging,Stephania Wuesthoff,President,3265C Hwy 231,Valley,WA,99181-0000,"excavation,land clearing,demolition,culvert installation,trenching, road work, tree removal, commercial & homesite prep, landscaping, and much more."
939,Wsd Inc ,Glass Services Co ,Ward Dunscomb,President,255652 HIGHWAY 101,PORT ANGELES,WA,98362-9297,"All phases of light/medium construction inc. concrete, rough framing, GWB, painting, and finishing. All tenant improvements."
940,"Spokane Industries, Inc.",Spokane Metal Products,BOB Moore,,3808 N Sullivan Rd Bldg 1,Spokane,WA,99216-5065,"Design and manufacture Aerospace fuel tanks systems. Include the SealVac, SealVac Plus, AGE Handifueler Ground Support Cart, Helifueler, and UAS fuel/defuel carts."
941,"LYNDEN THERAPY SPECIALISTS, INC.","ReBound PT, OT & Hand Therapy",Christine Nelson,,1610 Grover St B 2,Lynden,WA,98264-1539,
942,"Miller, Mark",ALL WEATHER TREE AND LANDSCAPE,Mark R Miller,,1815 NW 94TH ST,VANCOUVER,WA,98665-6306,Tree work
943,ISLAND HANDYMAN SERVICES LLC,,Drew Olson,,1619 STEPHEN ST,OAK HARBOR,WA,98277-8242,
944,"Shearer & Associates, Inc. ",,Rod Shearer,,19300 NE 112TH AVE STE 100,BATTLE GROUND,WA,98604-7308,Supply and installation of tanks/reservoirs
945,THOMPSON ELECTRICAL CONSTRUCTORS INC,,Sonia R Billingsley,,150 100TH ST S,TACOMA,WA,98444-6513,"Services: Government Agencies, JBLM, PSNS, Bangor, Ballard Locks, VA, Army Reserve Center Pier 23, FAA, KCHA; local agencies: University Place, Pierce County, City of Tacoma, School Districts, Medical Facilities, Franciscan Medical Campuses, Western State Hospital,Utility Work: Communication sites, Road Construction projects such as street lighting, traffic signals, solar school zone flashing beacons, solar crosswalks and traffic loops, Low Volt: Fiber Optic Cabling, Data, Communications"
946,Ridolfi Inc,,Callie A. Ridolfi,PRESIDENT,500 Union Ste 1010,Seattle,WA,98101-4066,"ENV'L ENGINEERING., MINING, NRDA, STUDIES, REPORTS, WASTE MGMT, ENV'L SCIENTIST, CERCLA, PERMITTING, REGULATORY COMPL., LITIGATION SUPPORT, ENV'L DOCUMENTATION, TECHNICAL OVERSIGHT, REMEDIATION & POLLUTION CONTROL STUDIES, RENEWABLE ENERGY, ENERGY AUDIT"
947,AKESO LLC,AKESO ASSOCIATES,Carmine Bozzi,,1136 8TH AVE WEST,SEATTLE,WA,98119-3440,Akeso Associates is a Seattle-based company specializing in global public health and development in low income countries.
948,CAMASSIA PROFESSIONAL CORPORATION,Camassia,Ed Kilduff,,815A Spring St #2,Friday Harbor,WA,98250-9822,"We support scientific missions, especially those related to environmental security and sustainability, geospatial informatics, space, defense, and research and development. We also assist with international development."
949,DAILY ELECTRONICS INC,,Jim Grimes,,19311 NE 91ST ST,VANCOUVER,WA,98682-6790,"electron tubes and vacuum tubes. New, surplus and rebuilt. Large inventory, fast deliveries."
950,AALBU BROTHERS L.L.C.,,FRANCIS CRAVEN,,19129 SMOKEY POINT BLVD STE 1,ARLINGTON,WA,98223-4258,
951,"KNUTZEN CONSULTING ENGINEERS, PLLC",Knutzen Engineering,Paul Knutzen,,25604 S SUNSET MEADOWS LOOP,KENNEWICK,WA,99338-7570,General Civil & Structural Engineering Design
952,STREIBECK & SONS,,WILLIAM  STREIBECK,,9905 W NEWKIRK RD,SPOKANE,WA,99224-9178,
953,"Trenchless Construction Services, L.L.C.",,Jenny J Millich,,4103 241St St NE,Arlington,WA,98223-9015,"Our seasoned crews, updated equipment, and locating technology allow us to install new conduits to 36” in diameter and lengths in excess of 2000’ in all soils and rock formations. Our locating technology allows us install gravity sewers to grade, operate at depths in excess of 100’ and conduct sub-surface exploratory probing for geo-technical investigation."
954,"Petrocard, Inc. ",,JENNIE  HANSON,,730 Central Ave S,Kent,WA,98032-6109,"PetroCard will work closely with you to develop a custom fuel management program. From cardlock & mobile fueling, to bulk fuels & lubricants, we have the experience, expertise and products that will work for your company, fleet and budget."
955,Amend Construction & Management LLC,,Christian M Amend,,8601 W 5th Ave,Kennewick,WA,99336-8618,
956,DRSYSTEMS NORTHWEST INC,D R SYSTEMS NORTHWEST,Don R Reimer,,3000 CARILLON POINT STE 3230,KIRKLAND,WA,98033-7304,Forest/Land Use Planning Economic/Financial Analysis Vegetation Modeling Growth & Yield Analysis Timber Supply Analysis Software Development Software systems for forest activity tracking
957,"Teo Technologies, Inc.",Tone Commander,Lisa Nowak,,4640 Campus Pl Ste 110,Mukilteo,WA,98275-5311,"Teo is a US manufacturer, specializing in design and manufacture of Unified Communication Systems, VoIP phones, TSG-6 on-hook secure phones, ISDN phones and NT1s, and 911 emergency call alerting products."
958,TBM Services LLC,TBM Services,ROBERT MARSHALL,,21809 Cottonwood Springs Blvd,Kennewick,WA,99338-7493,
959,CHARLES PRATT CONSULTING INC,,Charles Pratt,President,877 JUNIPER BEACH RD.,CAMANO ISLAND,WA,98282-8824,"Management and OD Consulting: Leadership Development, Teambuilding, Conflict Management, Coaching, Interpersonal Skills Training, Dialogue, Emotional Intelligence, MBTI, FIRO-B, EQ-i, Conflict Dynamics Profile, CPI-260, Lominger Voices, Communications"
960,Security Services Northwest Inc,,JOSEPH DAMICO,President,250 Center Park Way,Sequim,WA,98382-3463,Security Officers Force Protection Teams
961,"Silver Mountain Construction, LLC",,Brent Brooks,,801 6TH ST,BREMERTON,WA,98337-1439,"Silver Mountain Construction (SMC) is an 8(a) certified small business that provides comprehensive construction services for commercial, military, and government customers. SMC provides decontamination/disinfection services as well as General Contracting and subcontracting services, capable of self-performing carpentry, civil, fire protection, electrical, and mechanical, as well as extensive past performance with Petroleum, Oil and Lubricants (POL) and fuels projects. SMC's qualifications are best reflected in our current and ongoing indefinite delivery/indefinite quantity (IDIQ) contracts and our competitively bid projects. Excellent past performance for the U.S. Air Force, U.S. Army, U.S. Army Corps of Engineers, U.S. Coast Guard, U.S. Fish and Wildlife, U.S. Department of Veterans Affairs is testament to our capabilities and outstanding service we provide. SMC is a low risk small business with large business processes, procedures, and infrastructure with a current EMR of 0.76."
962,Sewing Machine Service Company Inc,,CEVIN  Waffle,,315 Main Ave S,Renton,WA,98055-2713,"Sewing,Embroidery and fabric cutting equipment and related supplies and service"
963,SLOANS FLOOR COVERING INC,,Davina Gans,,1064 12th Ave,LONGVIEW,WA,98632-2510,"Full provider of flooring, both commercial and residential, as well as countertops, Tile Baths, and showers."
964,GN SQUARED CONSTRUCTION LLC,,Marquia Wooten,,1535 24TH AVE,SEATTLE,WA,98122-3008,"GN Squared Construction LLC provides commercial and residential clean-up services dedicated to providing quality results with integrity and style. We offer experience in: Janitorial Duties, Final Construction Clean-Up, Tenant Improvements, Removal of debris, Floor Care and more. Our goal is to turn messy post-construction spaces into interiors that shine, delivering a level of professionalism that demands 100% satisfaction. Our energetic, eco-friendly approach is formed by close attention to detail, strong work ethic, and the ability to please the most exacting clients."
965,Infinetix Corp,,Peter B Van Doren,,2721 N VAN MARTER #3,SPOKANE,WA,99206-6691,Infinetix is a small R&D contract engineering firm that specializes in electronic hardware design as well as software and firmware engineering. We excel in prototype designs and designs to test feasibility. We offer PCB drafting and technician services.
966,"One & Done, Inc",,Michelle Wieman,,106 Goldenrod St,Port Orchard,WA,98366-1939,
967,L & M SERVICES INC,SERVICEMASTER,Michael  S Mack,,1600 132ND AVE NE STE 150,BELLEVUE,WA,98005-0000,"Water,Fire and Mold Remediation"
968,HydroFLOW Holdings U.S.A. LLC ,HydroFLOW USA ,Chuck Glessner,,15301 NE 90th St,Redmond,WA,98052-3562,"Physical water conditioners using 150 KHz electric current to prevent and remove lime scale, bacteria, algae from plumbing systems and pipes. Decreases energy, chemical, water, maint. costs; extends service life of equipment & pipes"
969,OBELUS DESIGN GROUP,,Larry Demich,,3033 NE 201ST PL,SEATTLE,WA,98155-1540,"coastal engineering, civil engineering, project management, program management, planning, disaster recovery, wetlands design and construction, ecosystem design, hydraulic and sedimentation analysis and design, dredging design"
970,Regiment System Support Solutions LLC,,Thomas Carlson,,3318 115th Ave SE,Snohomish,WA,98290-4009,
971,TRUE NORTH PROTECTIVE SERVICES LLC,TNP,John V  Catterson,,7302 13th Avenue Ct E Apt 55,Tacoma,WA,98404-5918,"As a service disabled Veteran owned company, we provide full spectrum security and comprehensive investigative services as well as related task orientated training"
972,"WESTERN INDUSTRIAL TOOLING, INC.",WESTERN INDUSTRIAL PRODUCTS,Tom Miller,,14511 NE 87TH ST,REDMOND,WA,98052-3431,"AS9100 certified manufacturer of precision parts, tooling, components and assemblies for aerospace, defense and industrial applications."
973,"OXARC, INC.",,Jerome E Nelson,VICE PRES,E 4003 BROADWAY AVE,SPOKANE,WA,99202-4528,"Welding distributor with a full line of welding products from Lincoln Electric ,Esab,Miller,Thermal arc,Thermal Dynamics plasmas. Industrial, Medical and Specialty Gases from Praxair. product lines to list. Fire division, brushes, Dewalt power tools ."
974,ACCORD CONTRACTORS LLC ,,Keith Bjella,,15405 SE 37TH ST STE 100,BELLEVUE,WA,98006-1772,"We are a Commercial, Multi Family and TI General contractor who self performs technical site work, (sheet pile, deep utilities), basic site work, concrete, structural steel, carpentry, finishes and interior plumbing. $5,000 to $5,000,000 projects. We are a section 3 business and are also SCS (Small Contractors & Suppliers) Certified in King County"
975,"Christman, Julia Anne",Verde Energy,JULIA CHRISTMAN,,4408 51st Ave SW,Seattle,WA,98116-4029,VERDE ENERGY IS A NATIONAL PROVIDER OF COMPETITIVELY-PRICED ENERGY PRODUCTS AND SERVICES. WE SPECIALIZE IN DISTRIBUTING REFINED AND ALTERNATIVE PETROLEUM PRODUCTS AND LUBRICANTS.
976,"Darwood, Tarrie ",Tarrie's Sewing & Cleaning ,Tarrie J Darwood,,31 Ross Rd,Twisp,WA,98856-9792,"I have been in business for over 12 years, I have worked in numerous settings including residential, nightly rentals, & business cleaning. I have all of my own equipment this includes a riding mower and other yard equipment to do yard maintance, house cleaning and janitorial duties"
977,Green Flush Technologies Llc,,Kyle Earlywine,,1420 N COLUMBIA RIDGE WAY,WASHOUGAL,WA,98671-8022,"Green Flush Technologies is the only company in the USA that specializes in prefabricated permanent flush restroom buildings that are self-contained. Our flush vault design allows our restrooms to be placed and operate virtually anywhere without the need for sewer, water, or electrical lines. You can now provide visitors a superior restroom experience complete with flush toilets and sinks at a budget-friendly cost. Additionally, our restrooms use as little as one tenth the water of a conventional flush facility. For information on how our restrooms have effectively served government agencies, visit www.greenflushrestrooms.com."
978,"BERNARDO WILLS ARCHITECTS, P.C.","WILLS, ROBERT M",Robert F Pace,,153 S JEFFERSON ST,SPOKANE,WA,99201-4103,"BWA is committed to providing a full range of professional in-house design services, including architectural, landscape architecture, and interior design. Our staff of 33, including 14 registered architects, 4 Landscape Architects, 3 Interior Designers, and 12 technical and administrative support staff has the technical knowledge and ability to provide you with a complete package to meet all your design needs."
979,Port Madison Enterprises Construction Corporation,,Scott George,,15775 GEORGE LN NE STE 210,POULSBO,WA,98370-7888,"PMECC is a diverse general contractor specializing in three main divisions; residential and commercial site development, road and parking area construction, and residential and commercial sewer systems."
980,"CUSTOM HYDRAULIC & MACHINE, INC.",CUSTOM MACHINE,NICOLE  BUSHIE,SALES,22911 86TH AVE S,KENT,WA,98031-2466,"ADAPTERS, HOSE ASSEMBLIES, MANUFACTURER, SWIVEL FITTINGS, SUPPORT SLEEVES, UNIONS, COUPLINGS, MIL-F-24787, MIL-H-24135, MIL-H-24136"
981,Goldsim Technology Group LLC,,RICK KOSSIK,Principal,255 S KING ST,SEATTLE,WA,98104-2832,"GoldSim is a powerful and flexible probabilistic simulation platform for visualizing and dynamically simulating nearly any kind of physical, financial, or organizational system."
982,"Pinnacle Professional Services, P.S.",,SANDRA BREWER,,920 N Argonne Rd Ste 200,Spokane,WA,99212-2796,"All forms of investigation including criminal history research, background investigation, administrative and criminal investigations, asset searches, professional license verifications, employment and education verification"
983,STOTTS CONSTRUCTION INC,STOTTS PREMIX,JOHN  STOTTS,Manager,17814 HWY 21 N,CURLEW,WA,99118-9668,"Excavation, water line installation, sewer line installation, septic system installation and pumping, road construction,trucking, demolition, site prep, rock products"
984,"Emerald City Medical Staffing, Inc.",,JENNIFER  MINKS,,6240 Tacoma Mall Blvd Ste 315,TACOMA,WA,98409-6819,"Emerald City Medical Staffing provides temporary healthcare professionals. These would include, Registered Nurses, Licensed Practical Nurses, Certified Nursing Assistants and Allied Health Professionals."
985,MODELWERKS INC.,,Xesha Koppernaes,,655 S ANDOVER ST,SEATTLE,WA,98108-5234,"Modelwerks is a specialty tool and custom manufacturing house founded in 1992. From concept to production, Modelwerks transforms original ideas or engineering data to deliver a quality product that meets the clients needs. Modelwerks possesses a skilled professional workforce with a focus in 3D modelling, model building, materials, and manufacturing. Locally educated, our knowledge stems from the boom that the aviation, marine and recreation industries have had in this part of America. Our teams' respective hobbies and interests drive the personal attention that each job receives. We are constantly learning and experimenting so we can bring our knowledge to our clients to ensure the highest quality product is delivered. In short, we love what we do."
986,FIRE PREVENTION SERVICES INC,,ALEX Jamito,,10520 SE 200TH ST,KENT,WA,98031-5549,"Provides hood cleaning, maintenance and installation of fire suppression systems for commercial kitchens. Gaylord Kitchen Hood certified."
987,"Fremont Analytical, Inc ",,Michael C Ridgeway,,3600 FREMONT AVE N,SEATTLE,WA,98103-8712,
988,"Western Marine Construction, Inc.",,JOSEPH  E  ZECH,,2775 Harbor Ave SW Ste A,Seattle,WA,98126-2168,"We specialize in heavy civil and marine construction, self-performing 90% of the work on projects. We have long-term employee retention, a highly skilled workforce and effective safety procedures to promote productivity as well as accident prevention. Significant owner involvement includes consultation, design and construction services, and logistics for on-water locations in Washington and Alaska. We work diligently to understand not only the project specifications but at the outset, establish goals and anticipate the inherent risks of the project. Our collaboration and value engineering process resolve many project issues early, thereby avoiding costly delays or claims."
989,"Saul Jr, Jerry John ",C & J Northwest Security ,Jerry J Saul,,12838 Morris RD SE,Yelm,WA,98597-9217,Certified Safe / Vault Technician / Inspector / Locksmith.
990,Madlung & Jones LLC,Strategic Emergency Education,Krista Salinas,,2021 E College Way Ste 214,Mount Vernon,WA,98273-2373,"At Strategic Emergency Education (SEE) we specialize in emergency management services including Response & Recovery Guidelines, Policies and Procedures, Plan Writing & Development, Plan Maintenance, Grant Writing, Grant Management, Emergency Operations Center Development & Assistance, Staff Training (active shooter, situational awareness, disaster preparedness, etc.), Tabletop, Drills, Exercises and Games. SEE also specializes in medical training to include CPR, first aid and life-threatening bleed control training."
991,Bull Hill LLC,Bull Hill Guest Ranch,Tucker Guglielmino,,3738 Bull Hill Rd,Kettle Falls,WA,99141-8777,Facility and support for advanced rural sniper training. Also have Ecline field training. We also provide lodging with a restaurant on site!
992,DATALOGIC INC,,DAVID paige,Federal Program Manager,646 HIGHLAND AVE APT 312,BREMERTON,WA,98337-1959,"DataLOGIC, Inc., is a small business that provides a range of (IT) PROFESSIONAL SERVICES for Federal government non-civilian and civilian agencies. Our specialty markets are resource management,environmental management and civil engineering."
993,"Laser Techniques Company, LLC",LTC,JAMES L. DOYLE,President,11431 Willows Rd NE Ste 100,Redmond,WA,98052-2501,"Laser Techniques Company develops laser-based, non-contact measurement and inspection equipment for non-destructive testing and manufacturing quality control applications."
994,"INTRACOMMUNICATION NETWORK SYSTEMS, INC.",INSI,David Williams,,4922 N PEARL ST,TACOMA,WA,98407-3120,
995,Emissol LLC ,,Mansour Masoudi,,16300 Mill Creek Blvd Ste 208-F,Mill Creek,WA,98012-1737,
996,"Logistic Resource Solution, Inc ",LRS ,DARRYL  SIMMONS,,15413 1ST AVE CT SO STE 106,Tacoma,WA,98444-4606,"Logistic Resource Solutions, Incorporated (LRS) provides comprehensive management and functional support services to government agencies and corporate organizations. LRS construction division has over 60 years of exeperience."
997,Art N Stitches Inc ,,Brenda S Hackett,,5013 PACIFIC HWY E STE 13,FIFE,WA,98424-3421,"Custom embroidery, Letterman jackets, Chenille emblems, Chain Stitch, Tackle Twill, Apparel decoration"
998,Mills Painting Inc.,MILLS PAINTING,Curt Mills,,3116 E 33RD AVE,SPOKANE,WA,99223-4679,"Mills Painting Incorporated, has been working within the Northwest Community for over 30 yrs. As the founding owner and mastercraftsman, I am also very proud to say that within that 30 years my company has achieved the Gold Safety Award, for being accident free throughout those years. This covers work from small residential remodels to much larger jobs. Such as... THE DAVENPORT GRAND HOTEL interior faux finishing, interior decorative wall finishing, wood antiquing, wood-graining, gold-leafing, marbelizing, and wall painting. After 6 months of interior work, Mills Painting then started the exterior restoration, which entailed window glazing, wood and window resoration, cornice painting, mortar repair and brick sealing. Using a skycrane for top floor cornice to bottom ground floor finish. Other projects include, Global Credit Union @ Fairchild Airforce Base, Franz Bakery, Knitting Factory, Flour Mill, along with many other local projects."
999,"North Wind Site Services, LLC",,KIMBERLEY KEARNEY,,507 Knight St Ste A Rm 110,Richland,WA,99352-4258,"North Wind Site Services provides full-service environmental remediation and investigation, decontamination, and disinfection. North Wind Site Services is an SBA certified 8(a) firm and is part of a family of companies with common ownership under Cook Inlet Region, Inc. (CIRI), an Alaska Native Corporation (ANC). Under North Wind Group, North Wind Site Services operates under a proven corporate infrastructure that has been in place for over 18 years, a low EMR of 0.76, and a DCAA-approved accounting system to successfully execute Government contracts. North Wind Site Services offers clients a low risk small business concern that is backed by a mature, financially strong parent organization and an excellent past performance history. Occupational Health (Industrial Hygiene, Health Physics, and Respiratory Protection) and facility disinfection and cleansing services."
1000,Campbell's Lodge Inc,Campbell's Resort & Conference Center,Glenda Milliette,Executive Chef,104 W Woodin Ave 110,Chelan,WA,98816-9715,Food Service
1001,"Bennett, Dewey",Bennett Consulting Services,Dewey W Bennett,Operations Officer,1198 Leahy Dr,Coupeville,WA,98239-9726,"Construction Management, Construction Quality Control, OSHA (Safety) EPA (Environmental) DOT (Transportation) ODP (Homeland Security)Construction specializing in remediation & maritime. Compliance, Training, and Assistance"
1002,Emerald City Coatings and Construction Co.,,Emily A Funk,,16816 43rd St CT E,SUMNER,WA,98391-6747,"Emerald City Coatings and Construction Co. is a Seattle area based construction company specializing in timely, efficient, headache-free, and long-lasting installations of traffic coating,caulking, pavement striping and waterproofing membranes within parking garages and elevated decks within multi family housing units in the Pacific Northwest. We specialize in applying products/systems by Pacific Polymers, Pecora and Sonneborn (BASF). We also fabricate and install metal flashings."
1003,"SEATTLE BOILER WORKS, INC.",,Michael Kipper,Sales Manager,500 S MYRTLE ST,SEATTLE,WA,98108-3495,"MEDIUM AND HEAVY STEEL FABRICATION PRODUCTS INCLUDE BOILERS, PRESSURE VESSELS, TANKS, HEAT EXCHANGERS, CONDENSORS, FERROUS AND NONFERROUS. BOILER AND PRESSURE VESSEL FIELD REPAIR AND CONSTRUCTION. CUSTOM FORMING. STRESS RELIEVE SERVICES."
1004,"IMAC, INC",INDUSTRIAL MAINTENANCE & CONSTRUCTION,Mandy Nelson,Construction Services Division Manager,2525 OLD HWY 99 S,MOUNT VERNON,WA,98273-9093,"Mechanical maintenance, repair and construction in manufacturing/processing facilities. General Contractor - Site/Civil/Structural/Piping Asbestos Abatement"
1005,"COLOR GRAPHICS SCREENPRINTING, INC.",COLOR GRAPHICS SCREENPRINTING EMBROIDERY,Voshte Gustafson,,2540 CRITES ST SW,TUMWATER,WA,98512-6135,"Specialties: Advanced printing techniques and equipment to produce quality apparel in-house to meet your needs. We also offer Promotional products, Signs, Recognition awards, Trophies, Lasers, Bling, Sandcarving and Sublimation"
1006,Nvl Laboratories Inc,,SHAISTA  KHAN,Business Development Manager,4708 Aurora Ave N,Seattle,WA,98103-6516,"NVL Labs provides testing,sampling and inspections for hazardous building materials including but not limited to Asbestos, Lead, Heavy Metals, Mold, Silica, Cr6, TCLP and more. Idustrial Hygiene and Indoor Air Quality services."
1007,G ALLAN WHITE INC,P'CHELLE INTERNATIONAL,GARY  A. White,President,6203 S TORO RD,KENNEWICK,WA,99338-8826,Marketing Consulting
1008,RBC Signals LLC,,Ron Faith,,2205 152nd Ave NE,Redmond,WA,98052-5519,Satellite communications infrastructure as a service
1009,"Technical Services, Inc.",T S I,Abdul Sharif,,970 NE 21st Ct,Oak Harbor,WA,98277-2715,"TSI Specializes in turnkey and consignment manufacturing using high speed surface mount equipment, automated optical inspection and in-circuit testing while maintaining through-hole capabilities with automated placement equipment. Our solutions include printed circuit board development, prototyping services, new product introduction, material procurement and supply chain management, printed circuit board and higher level assembly, test development, in-circuit and functional testing, final system box build, fulfillment, service, and repair. For more information, please visit our website at http://www.technicalservices.net."
1010,ADVISICON INC,,Ken Loewen,Advisor of Operations,5411 NE 107TH AVE STE 200,VANCOUVER,WA,98662-6347,"Project Managment and Project Portfolio Managment Consulting, Project Managment Training, MS Project Training, Database Development"
1011,"RSC International, Inc.",,Ron Stewart,,2813 63rd Ave Ct NW,Gig Harbor,WA,98335-8455,"Provide geriatric psychiatric care, Provide Senior care services"
1012,TeamEHR Inc.,,Joan Melendez,,125 E. Lynn Street Ste 204,Seattle,WA,98102-3291,"TeamEHR improves surgical safety and lowers costs by automating data collection and record-keeping, blocking the use of recalled and expired products, ensuring chain of custody, streamlining informatics workflows, and meeting MU3 requirements. Cerner Certified SurgiNet Specialist and Anesthesia expert with PathNet, PharmNet, FirstNet, CareNet, Meds Admin, Scheduling and Charge Services specialties."
1013,"WATERSHED COMPANY, THE",,DEBRA KLEIN,Vice President,750 6th St S,Kirkland,WA,98033-6715,"Providing a suite of environmental consulting services with emphases in the evaluation, rehabilitation, and design of wetlands, streams, lakeshores, and fish and wildlife habitat."
1014,Palm Construction Inc,,JERRY  Palm,Owner,28 Longhill Road,WINTHROP,WA,98862-0000,
1015,"Cat Works, LLC",Catworks Construction,Mike Merrill,,3501 THOMPSON AVE,VANCOUVER,WA,98660-0000,"General contractor specializing in civil const. work, i.e. sewer, storm, and water lines along w/ grading, paving and excavation for roads, structures, culverts, buildings, bridges, clearing, demo, hazmat cleanup, retaining walls, & value engineering."
1016,"CANNON CONSTRUCTION, INC.",,Rick Ingram,Project Estimator/Manager,406 PORTER WY,MILTON,WA,98354-9638,"General Contractor,Specializing in ISP/OSP Telecomunication's. We have serviced the need's of the construction industry for over 17 years. Our reputation for quality,service,& safety has made CCI a preferred contractor throughout the industry."
1017,"Capitol Pacific Reporting, Inc.",,SANDRA  Nelson,,2401 Bristol CT SW 103,Olympia,WA,98502-6003,"Since 1975 Capitol Pacific Reporting has been providing dependable court reporting services to the Western Washington legal community. With 22 Certified Court Reporters, we are able to meet all your court reporting needs."
1018,Hale Milligan And Associates,,Kelli S. Hale,,307 N Olympic Ave Ste 209,Arlington,WA,98223-1351,"Plans specifications and estimates for roads, storm drainage, storm sewer, sanitary sewer, water, utilities, pedestrian facilities, building site design, planning, temporary erosion and sediment control, habitat restoration and construction inspection."
1019,"RAMOS REFORESTATION, INC.",,Jose E Contreras,OWNER,1760 MT BRYNION RD,KELSO,WA,98626-9545,"Ramos Reforestation Inc provides a complete forestry maitenance service including Pre-commercial thinning, Planting, Prunning, Hand Pilling, Brushing, PCT, less Fire Suppresion"
1020,"ZIPPER GEO ASSOCIATES, LLC",,Robert A Ross,,19019 36TH AVE W STE E,LYNNWOOD,WA,98036-5713,Geotechnial and Environmental consulting.
1021,"Group One Northwest, Inc. ",Group One ,MICHAEL Edwards,Sales Manager,12031 Northup Way Ste 100,Bellevue,WA,98005-1916,"Wholesale distributor of low voltage electrical and electronic supplies: Cable/Wire, Intrusion (Security) & Fire Alarm systems, CCTV, Access Control, Tools and Hardware, Communication/Data, Audio Systems. Over 26 yrs of providing simply better service."
1022,Cyborg Mobile LLC,Cyborg Mobile,Kobie Hatcher,,15 S Grady Way Ste 423,Renton,WA,98057-3219,We are a Minority-owned technology and management consultancy founded in 2009. We lead from ideation to implementation scaling new and existing programs/projects in short timeframes. Our Change Leadership approach has proven successful across industry verticals to help our clients succeed in delivering accelerated strategic outcomes for sustainable change. We pride ourselves on delivering the best results and increased productivity for our clients’ businesses.
1023,"CALENDAR CONSTRUCTION, INC.",COLONY SAND AND GRAVEL,RYAN COSTANTI,,14679 E ADISON RD B,BOW,WA,98232-9210,"Rock, Sand, Gravel, Guns, and Ammo supplier. Excavation Contractor Firearms Manufacture and wholesaler."
1024,"Marine Engine Repair Co., Inc. ",MER Equipment ,MICHAEL HUDSON,President,2400 W Commodore Way,Seattle,WA,98199-1228,"Diesel engines for main propulsion, assemble custom diesel generators, distribute exhaust silencers and catalytic converters. Full line of marine and industrial generators for standby or prime power applications."
1025,"Columbia Energy & Environmental Services, Inc. ",Columbia Energy ,BRIAN  E. BRENDEL,President,1806 Terminal Dr,Richland,WA,99354-4923,"Engineering (Mechanical, Electrical, Process, Nuclear, Field, Civil), Project Management, Operations Support, Environmental Compliance, D&D, Remediation, Characterization, Geophysics, Fabrication, Machining, Equipment Manuafacturing, Equipment Testing"
1026,Bell Design Company,,STONER BELL,,900 W Steuben,Bingen,WA,98605-9187,"Structural, Civil, Geotech, Professional Land Surveying, GPS, GIS, Construction Engineering, Wastewater Treatment, Municipal Water, Hydraulics, Scour Analysis, Drafting, 3D Modeling, Stormwater, Land Use"
1027,THIRD SECTOR INTELLIGENCE INC,,Denise Carlson,,533 N 77TH ST,SEATTLE,WA,98103-4703,
1028,"TACOMA DIESEL AND EQUIPMENT, INC.",,Curt Bartnes,Sales Manager,444 54TH AVE E,TACOMA,WA,98424-2722,"Sales and service for engine driven generators as well as diesel engines industrial, mobile or marine."
1029,PACIFIC ENVIRONMENTAL SERVICES COMPANY,,TOM W. CARROLL,President,8585 HWY 20,PORT TOWNSEND,WA,98368-9764,"General Contractor specializing in UST removal, installation, and precision testing. Installation of cathodic protection systems. Construction of buildings. Fabrication of service station canopies. Clean up of petroleum contminated soils."
1030,"TANAGER TELECOMMUNICATIONS NM, LLC",,Brian Adams,Member,50 SE CASCADE AVE,STEVENSON,WA,98648-0000,Tanager Telecommunication NM is a reseller of Qwest services in New Mexico. The company is certified as a competitive local exchange carrier(CLEC) by New Mexico Public Regulatory Commission for providing telecommunications services in New Mexico.
1031,"Monarch Machine And Tool Company, Inc. ",,DON STARTUP,PRESIDENT,410 S Oregon Ave,Pasco,WA,99301-4317,"PROTOTYPE AND PRODUCTION RUN MACHINE SHOP.LARGE CAPACITY STRUCTURAL STEEL FABRICATION FACILITY. ALL WORK AND METALS CAN BE PROVIDED UNDER QA/QC PROGRAM.STEEL SERVICECENTER WITH COMPLETE BENDING, SHEARING, ROLLING OF PLATE,PIPE,SHEET AND BAR STOCK."
1032,"Xergy Consulting, LLC",Xergy Consulting,Katherine E Dayem,,1229 Brookstone Dr,Bellingham,WA,98229-5016,"Xergy Consulting identifies, explores, and cultivates untapped energy resources on the customer side of the meter. We apply research, experimentation, communication, and systems thinking to help our clients achieve deep and lasting energy transformation in residential and commercial buildings. Our experts cover topics ranging from plug loads to building systems to smart building technologies."
1033,"Ionosphere, LLC",,DAVID A CUTHBERT,,9014 Woodbank Dr NE,Bainbridge Island,WA,98110-3485,"Ionosphere develops cloud and distributed computing solutions, including high performance computing (HPC), cloud and distributed systems architecture, and custom software solutions."
1034,"HOTCHKI CONSTRUCTION, LLC",,Tim Hotchkiss,,16808 N DEAN RD,NINE MILE FALLS,WA,99026-9389,Residential and commercial remodeling
