View,Name of Firm,Trade Name,unknown,unknown,Address,City,State,Zip,Capabilities Narrative
97,"GAMBLIN ENTERPRISES, INC",ALL AMERICAN METAL FINISHING,DAVE  AMLIN,,5609 176TH ST SW,LYNNWOOD,WA,98037-2816,Alkaline Zinc Electroplating job shop. Barrel and Rack plating available with Clear Chromating and Iridescent Yellow Chromating. Passivate on small job basis is available.
98,"RAVENWOOD CAPITAL MANAGEMENT, LLC",,Scott Jackson,,2525 E 53rd Ave Apt F205,Spokane,WA,99223-9151,"Ravenwood Capital Management, LLC constructs Investment portfolios, conducts research, and manages/invests capital on behalf of clients."
99,K And L Spray Service Limited Liability Company,,Hugo A Mertens,,9100 RUSSELL RD,MESA,WA,99343-9606,Specialized in pesticide application and weed control programs.
100,Ross Company Engineering Services LLC,RCES,MICKEY V ROSS,,9324 Canyon Rd E,Puyallup,WA,98371-6306,"Ross Engineering Services LLC provides process, systems and computer engineering; quality assurance; graphical information systems and sustainability management; renewable energy: solar and wind (offshore and land) systems products and services. State Certified water testing. Certified Marriage and family counseling. Certified Social worker, Medical Insurance Training for Providers including TriCare."
101,JEFF JOHNSON EXCAVATING LLC,,JEFFREY L JOHNSON,OWNER,1812 N 203RD ST,SHORELINE,WA,98133-3307,"Concrete and Steel demolition, heavy highway demolition, crushing and aggregate screening."
102,Regiment System Support Solutions LLC,,Thomas Carlson,,3318 115th Ave SE,Snohomish,WA,98290-4009,
103,"ABW TECHNOLOGIES, INC.",,Hayley  Blackwell-Olsby,Business Development,6720 191ST PL NE,ARLINGTON,WA,98223-4666,"ABW Technologies, Inc. (Formerly American Boiler Works, Inc.) is a custom metal fabricator located in Arlington Washington. We participate in a variety of industries including Aerospace, Defense, Oil and Gas, Transportation and Nuclear."
104,"Blue Mountain Electric, Inc.",,Nathan J. Howat,,1181 NE 21st Ct,Oak Harbor,WA,98277-2717,"WA Veteran Owned Small Business with extensive military contracting experience with design-build, industrial and commercial projects. Specializing in design-build and design bid-build projects for the U.S. Navy in the Puget Sound Region."
105,"StratIQ Consulting, LLC",STRATIQ CONSULTING,Brian Williams,,4422 S Magnolia Street,Spokane,WA,99223-6438,
106,"Dillio, Inc",Action Man Plumbing,Kelly Bell,,397 Klondike Rd,Republic,WA,99166-9745,"Dillio Inc. DBA Action Man Plumbing is a plumbing company based out of Republic, WA. We specialize in plumbing , gas piping and new construction plumbing. We are licensed, bonded and insured. To view more on our Federal Contracting please visit Fedlinks DILLIO, INC ."
107,KAL Rehab LLC,,Kittie Lafazia,,604 Industry Drive,Tukwila,WA,98188-0000,"Repairs,servicing,evaluations and training for Veterans in all aspects of wheeled mobility (wheelchairs/scooters) Our company President is a Vietnam era veteran. Our staff includes a licensed OT/ATP and a CRT specialist. We also provide a full range of clinical and technology-related services for Veteran home safety and accessibility."
108,AXYS SERVICES INCORPORATED,,PS S Reilly,,5400 CARILLON PT,KIRKLAND,WA,98033-7357,"ASI imports and does final assembly/manufacturing on environmental monitoring solutions for research and management of environmental, energy and public safety applications. ASI can also provide turnkey project management for the operation and maintenance of these assets, including both onshore and offshore support. ASI is a trusted provider of AXYS Technologies buoy solutions in the United States."
109,SCHIRA CONSULTING,,CELT M SCHIRA,,1028 12TH ST,BELLINGHAM,WA,98225-0000,"Electrical design services (power, lighting, communications and photovolataics) informed by sustainable building expertise. We provide elctrical engineering for the built environment. We meet the clients’ goals and budget. Solid initial electrical design saves money in construction, operations, maintenance and future building reuse. Sustainably designed buildings are more energy efficient, have higher building rental and resale values, higher employee satisfaction, and better customer response."
110,A & R Aviation Services Inc ,,RONNIE HIX,,7915 Old Hwy 99 Se,Tumwater,WA,98501-5711,"With 30+ years combined experience in the repair and overhaul of large Boeing/Douglas aircraft, A&R Aviation is your Repair Station of choice. Our capabilities cover mechanical components, flight surfaces, structural components and composite structures."
111,"Jones & Associates Contract Services, LLC",,Joseph Jones,,747 Washington Ave N Ste B,Kent,WA,98032-2917,"Jones & Associates Contract Services, LLC is an (IT) solutions services company that provides consulting service on acquisitions of computer hardware, software and peripheral equipment. It provides consulting services on sourcing, procurement and delivery services with logistical support. Providing competitive services for procurement of electronic computer manufacturing, storage devices and cloud availability. We can also help with all computer accessories including notebooks, tablets, servers, software, monitors and projectors. It serves large departments and small to medium enterprises and is located in the south end of Seattle/Puget Sound. We have a reputation for excellence, accuracy, product availability with a strong customer services orientation."
112,MILLENNIA HEALTHCARE INC.,,LARRY O UDE,,21400 INTERNATIONAL BLVD STE 205,SEATAC,WA,98198-6086,"Millennia is a Washington State Home Care Company in business since 1999 committed to helping our clients enhance their quality of life through our care services. Our non-medical services include, assistance with personal care, dressing, bathing, toileting, and medication reminders."
113,Pacific Northwest Consultants LLC ,,Doug C McAlpine,,19309 68th Ave S Ste R111,Kent,WA,98032-2112,"PNWC is a CPA firm providing training and advisory services to Government contractors (accounting, estimating, purchasing, billing, and timekeeping systems). PNWC also conducts 'yellow book' audits for Governmental and non-governmental entities."
114,"Vuetura, Inc.",,Steven Younger,,4164 148TH AVE NE,REDMOND,WA,98052-5164,"Created Automated Receiving, Delivery and Tracking Software Application. Supply Chain Automation"
115,"KNF CONSULTING SERVICES, LLC",,Karl N Fleming,,1225 W RIVERSIDE AVE,Spokane,WA,99201-1107,Engineering Services
116,H. F. Hauff Co Inc.,,Dean Hauff,,2921 Sutherland Dr,Yakima,WA,98903-1891,"Manufacturer of specialized agricultural equipment to include wind machines for frost protection, orchard sprayers, vineyard sprayers, weed sprayers, stainless steel tanks, laser cut parts, cnc machining"
117,"SETRACON, INC.",,Jeffrey A Slotnick,Executive Director,9101 24TH AVE E,TACOMA,WA,98445-5827,"All-Hazards Risk, Threat & Vulnerability Assessments; Organizational Resilience Management; Homeland Security Enterprise; Investigations; Training of Law Enforcement, Security & Military; Corporate Protective Services & Human Resource Consulting Services."
118,Prismoid Optical Laboratory Inc,Bec's Specs,REBECCA Doherty,President,216 E 5TH ST STE A,PORT ANGELES,WA,98362-3008,"Manufacture Lenses for eyeglasses, Manufacture optical lenses for glasses"
119,"MINISTER & GLAESER SURVEYING, INC",,DANIEL   Renton,,2200 E EVERGREEN BLVD,VANCOUVER,WA,98661-4317,Land Surveying
120,AKESO LLC,AKESO ASSOCIATES,Carmine Bozzi,,1136 8TH AVE WEST,SEATTLE,WA,98119-3440,Akeso Associates is a Seattle-based company specializing in global public health and development in low income countries.
121,"Tompco, Inc.",,Jeff D. Tompson,,8505 Leeward Ave NW,Seabeck,WA,98380-8811,"TOMPCO is a full service contractor focusing primarily on marine, wastewater and industrial projects for Federal, State, and Local Government agencies."
122,BiSOFT Consultancy Services LLC,Bisoft,PRIYADHARSHINI BALAJI,,16310 NE 80th St Ste 104,Redmond,WA,98052-3861,"IT CONSULTING COMPANY SPECIALIZED in IT SERVICES & STAFFING FOR DESIGN, DEVELOPMENT, TESTING, MAINTENANCE, SUPPORT OF WEBSITEs, WEB TECHNOLOGIES & APPLICATION SOFTWAREs. SEO, E-COMMERCE PRODUCT DEVELOPMENT. CUSTOMIZED APPLICATION DEVELOPMENT OF MAINFRAME AND OPEN SYSTEMS. OPTIONAL COST EFFECTIVE ONSITE-OFFSHORE MODEL."
123,Skytek LLC,,Gene DeAtley,,5800 NE 88TH ST STE 104,VANCOUVER,WA,98665-1155,"Skytek is a general contractor for commercial/indutrial building including design/build. We specialize in renovations of medical facilities, USACE projects, security, roofing, weatherization, firewall, and other green building techniques."
124,Native Ways LLC ,Apachewolf Productions ,Freddie W Begay,,15313 NE 13th Pl Ste 802,Bellevue,WA,98007-4521,"Video shooting, pre and post production, editing, and live video streaming. Producing training, instructional, informational, archival, and commercial videos. Aerial drone video services."
125,ROGER G FLYGARE AND ASSOC INC,,Karla J. Flygare,,1715 S 324TH PL STE 250,FEDERAL WAY,WA,98003-8581,"We provide Real Time Court Reporters, Professional Legal Video Services, Videoconference Suite, Conference Rooms, Legal Transcriptionists, Process Service, Litigation Support, Legal Services. NCRA members, GSA Approved, WSCRA, WFSRA members."
126,SSI CABLE CORPORATION,,BILL   SMITH,Vice-Pres.,820 E HIAWATHA BLVD,SHELTON,WA,98584-7892,Microwave Coaxial Cable Assemblies
127,"Applied Technical Systems, Inc.",ATS,FELICIA A HUDLOW,,9307 Bayshore Dr NW,Silverdale,WA,98383-9113,"ATS is a CVE verified SDVOSB accredited to ISO 9001:2015 and CMMI Dev Level III standards. Our core competencies are software design and development, data analytics, and integrated logistics support."
128,"Aegis Technologies Group, Inc.",,Mark Tiernan,"Director, Business Development",655 S ORCAS ST STE 100,SEATTLE,WA,98108-2648,"Research & development, custom software development (embedded & enterprise), hardware design & development (mechanical, electrical & manufacturing engineering), test equip & electrical design & manu, consulting, system integration, & program management."
129,SUPREMO LLC,,Sahil Singh,,23425 SE BLACK NUGGET RD APT G102,ISSAQUAH,WA,98029-6933,We provide reliable and affordable software solutions. Also Provide software support and maintenance.
130,"ALPHA AND OMEGA ELECTRIC, L.L.C.",,Jennifer Turner,,9531 31st Ave SE,EVERETT,WA,98208-3652,"Electrical contracting, Gound up electrical installations, Tennant improvement, Building Rennovation and updating, Energy upgrades. Partnering. Service wok. Washington state based work. Ultra small to mid size projects. Design build assistance and consulting."
131,"Art Anderson Associates, Inc.",,Melissa M Anderson,CEO,830 Pacific Ave,Bremerton,WA,98337-1949,"Multidisciplinary engineering services firm with capabilities in marine vessel and landside facilities engineering, design and construction management."
132,Hangout Corp ,CORPORATION ,Chima A Nwala,,4505 UNIVERSITY WAY NE 99,SEATTLE,WA,98105-4510,Hangout Corp provides podcast and business consultation services using our trademarked PODBUM brand. Hangout Corp also conducts feasibility studies and educational presentations relating to Occupational Health and Safety requirements in accordance with OSHA standards. Provides military Transition Assistance Services for recently separated veterans transition services looking to start businesses. Virtual Training for COVID-19 response.
133,"HIGHGATE CONTRACTING AND CONSULTING AGENCY, LLC",Highgate Contracting and Consulting Agency,Lloyd D Wint Jr,,2501 East D Street,Tacoma,WA,98421-1338,"Highgate Contracting and Consulting Agency, LLC is a socially and environmentally responsible Service-Disabled, Veteran and Minority-Owned Small Business that offers professional security consulting services, intelligence and operational support, talent management, organizational training and development, change management and wholesale goods to public and private sector entities.  Highgate's Subject Matter Experts possesses over two decades of United States Military experience, expertise and extensive qualifications relating to Special Forces, Ranger, Light Infantry, Intelligence, Operations, Advance Special Operations, and Surveillance Tactics Techniques and Procedures (TTPs). Our staff has over eight years of experience providing comprehensive security and training support services to the private sector and numerous government contracting companies. Highgate's goal is to provide value added professional services which exceeds customer satisfaction and expectations."
134,HUMAN INTERDICTION HU2 LLC,Human Interdiction Hu2,David Diaz,,901 North M St Studio 7,Tacoma,WA,98403-1533,"System Security, Human Tracking & Interdiction, Intelligence Analyst, Protective Services, Investigation, Tactical Training, Covert Entry"
135,VALENTINE NLL LLC,VALENTINE NLL,Renaldo Valentine,,11219 147th Avenue SE,Renton,WA,98059-4318,Northern Lights Logistics is a Service Disabled Veteran Owned Small Business. Our purpose is to save State Agencies and Federal Agencies thousands of U.S. dollars by partnering with manufactures and suppliers. These partnerships allow us to keep prices low and offer the same value and service most companies pay 25% - 35% more for by going directly to these companies. NLL offers better pricing on office equipment and supplies than Staples contracts and major savings on shipping items from Anchorage to the villages and from the lower 48.
136,"Wagaman, Kortne N ",,Kortne Wagaman,,13310 W Whitetip Ave,Airway Heights,WA,99001-5073,"Religious education programs with over 8 years of experience, and also coordinated vacation bible school programs."
137,"Bob Otto Consulting, LLC",,Robert P Otto,,380 7th Ave,Fox Island,WA,98333-9744,"Excellent team leader and collaborator, experienced as a fiduciary and advisory board member on publicly traded companies. Intelligence and cyber security expert with a proven record of success harnessing big picture strategic thinking and logistical planning to devise and execute cost-effective, cutting-edge initiatives that achieve overarching goals."
138,Britton And Associates PLLC ,,Antonio D Britton,,17914 112th Ave SE,Renton,WA,98055-6523,"Architeture and Engineer, Construction, Concrete, Landscape"
139,PETER CHRISTIAN LLC,,PETER  E Hamre,,11330 N WHITWORTH DR,SPOKANE,WA,99218-1625,"General Contractor performaing all phases of residential and commercial general contruction. Also provides construction management and consulting services. Additionaly, a wholesaler of medical, dental, and veterinary equipment & supplies."
140,B A Van De Grift Inc,,DOUG B VANDEGRIFT,Vice President,24944 Benham Rd,Mount Vernon,WA,98273-8079,"Construction and Trucking contractor specializing in Road Building, Decommissioning, Grading, Complete Site Prep, Excavating, Dike Repair, Demolition and Land Clearing. Also available for Emergency Response for snow removal, contaminated soil excavation and forest service road building."
141,ALM Government services LLC,,Nathan J Yarusso,,3805 W 12th St,Anacortes,WA,98221-4534,Provide supply chain support and consulting services in response to government procurement requirements.
142,"T & S HOLDINGS, INC",,Rick Worhington,,4828 BRIDGEPORT WAY W STE A,UNIVERSITY PLACE,WA,98467-0000,"Precision Tune Auto Care is a full-service automotive repair franchise. As such, we can maintain and repair at all technician levels."
143,NW Roots Construction LLC,,Bobby Graham,,212 W. Railroad St,Cle Elum,WA,98922-1181,"NW Roots Construction LLC is a full-service construction company specializing in Federal Contracting. We offer general contracting, construction management, and design build services across a wide-range of project types."
144,JME Partners LLC,,Matthew E Murray,,12313 NE 58th Ave,Vancouver,WA,98686-1859,"15+ yrs. in commercial property asset management, land subdivision, project acquisition and phased development with total property value $1.42 billion+. Including 7+ yrs. in wireless telecom and data center site development with Project Management Professional (PMP) certification and designated principal real estate broker license."
145,"COMMERCIAL AIRCRAFT INTERIORS, L.L.C.",,Michael  E Crawford,,19405 68TH DR NE STE A,ARLINGTON,WA,98223-6741,"Commercial Aircraft Interiors is a small veteran owned business primarily experienced in the manufacture, repair, engineering, modification, overhaul, removal and installation of aircraft interior assemblies, parts and components. We provide machining, and finish services to include anodize, chemical conversion (alodine), prime and paint. We manufacture and repair current carrying wire harnesses for all aviation requirements."
146,PORTLAND TACOMA CONSULTING LLC,,JOEL BATTISTONI,,25 SW RUELLEN ROAD,STEVENSON,WA,98648-9100,"Consulting and Management Services supporting weapon system and vehicle life cycle support. We provide analysis, design, and draft policies and processes for implementing logistics and maintenance systems operation."
147,BACKWOODS CONTRACTING,,Eric A Carabba,,500 INNIS CREEK ROAD,ACME,WA,98220-9712,trail building and foot bridges
148,"CHG BUILDING SYSTEMS, INC",,RYAN Grouws,Project Manager,1120 SW 16TH ST STE 4,RENTON,WA,98057-2639,"Full Service Steel Erector with company fleet of boomtrucks and certified welders. Also Authorized VP Buildings dealer for furnish/erect metal building capabilities, as well as in house design capabilities for design/build projects."
149,MAIN LINE INC,,CHARLES  A Main,,3213 W WHEELER ST PMB 247,SEATTLE,WA,98199-3245,Supervision and labor to handle ships mooring lines.
150,4M Sigma Corporation,,JOHN  PAULI,,1900 W Emerson Pl Ste 208,Seattle,WA,98119-1649,"Electrical/Electronic Manufacturing for the harshest of aircraft operating environments: 'Wheelwell-Survivable & Tarmac Tough.' Flight hardware flying on E-3, F-16, B2, KC-135, V-22, 737NG, MD80, A330, A340, 747-400 and ground-based hardware and support equipment operating in 220 countries worldwide."
151,PREDICUS LLC,,RALPH H. STOLL,,1855 E SHELBY ST,SEATTLE,WA,98112-2021,Consulting company providing clients with a state-of-the-art comprehensive risk analysis process to enhance executive-level decision-making for complex projects with large uncertainties; decision support models use GoldSim software technology.
152,"Intelligent Design Solar, LLC",,Todd Pistorese,,1726 Alki Ave Sw,SEATTLE,WA,98116-1817,"At Intelligent Design Solar, LLC we believe the future of distributed rooftop solar depends on cooperation between the customer/owner and utilities. IDS provides utilities with SCADA quality situational awareness of distributed energy resources and enables remote management of both generation and loads throughout their network. IDS provides a means to achieve greater reliability, reduce system losses, and enable operation a self-healing grid."
153,BULK CARGO SERVICES & LOGISTICS INC.,,Darrell L Bryant,,15400 NE 103RD DR,VANCOUVER,WA,98682-1944,"Bulk Cargo Services & Logistics, Inc.(BCS&L) is a provider of domestic and international transportation and logistics services and has been in operation since 2011. We also provide sales and procurement services to city, state, federal government agencies as well as overland and ocean transportation and consultations services. BCS&L is federally licensed and bonded to perform these services. Our license allow us to provide freight forwarding services to the U.S. Military, USDA,USAID,GSA to name a few, and private sector as well, both domestically and internationally."
154,"COMMERCIAL CHEMTECH, INC.",,Ed H Campbell,,6766 41ST AVE SW #14C,SEATTLE,WA,98136-1914,"Water Treatment Services, Chemicals and Equipment"
155,TL Rickman Incorporated,TLR General Contractor Servs,Anthony D Rickman,,32117 13th Pl SW,Federal Way,WA,98023-5525,
156,"BELENUS SOLUTIONS, LLC",,Jeffrey A Balentine,,11515 297TH DR NE,GRANITE FALLS,WA,98252-8513,"Belenus is a small, minority, and veteran owned company grounded in “Shared Values”, and extremely competitive billing rates. As a service consultancy, we are unique in the fact that all personnel have practical as well as theoretical experience in commercial, US Government, and local government service sectors. The Belenus team is made up of a highly experienced, and technically savvy team, and we employ associates who are experts in their respective fields. The Belenus team has held management, and senior executive positions in both government and commercial industries. This combination provides us with a reservoir of knowledge that allows us to immediately tackle ad hoc, and complex projects without having to deploy resources to learn the basic tenets of the subject matter as would be required of non-specialist service providers."
157,"JROTC DOG TAGS, INC.",JROTC.COM,ERNEST M KIEL,"President JROTC Dog Tags, inc.",11906 E DOLLY LN,ELK,WA,99009-5128,Engraving and Embossing Military style Dog Tags Uniform Nametag Emgraving & ID tags Advertising Specialties Fundraising Products Acu insignia JROTC patches JROTC rank ACU Uniforms ACU Name Tapes Tactical Gear Uniform Name Tags
158,AMERICAN ABATEMENT AND DEMO LLC,,Mari Borrero,,18855 SE AUBURN BLACK DIAMOND RD,AUBURN,WA,98092-9109,"At American Abatement and Demo, LLC, we sustain our company on reliability, great communication, integrity, and quality work. We strongly believe in giving our absolute best in all our projects. We are experts in our trade and will always keep you educated on your particular task or project."
159,"MATHEUS LUMBER COMPANY, INC.",,Jessie M Andersen,EXEC VP,15800 WOODINVILLE REDMOND RD NE,WOODINVILLE,WA,98072-9059,"LUMBER, PLYWOOD, PRESERVATIVE TREATMENTS, WHOLESALE DISTRIBUTORS, DOORS, MOULDINGS.Lumber and Plywood Prime Vendor for DSCP Philadelphia SP0500-99-D-0048"
160,B & B STRUCTURES LLC,,Bruce Wentz,,291 SUNSET VISTA LANE,SELAH,WA,98942-9401,
161,J. KEISER & ASSOCIATES LLC ,JKA ,Janette Keiser,,15715 Virginia Point Rd NE,Poulsbo,WA,98370-8037,"Lean Consulting, Organizational Leadership Training, Train-the-Trainer, Lean Construction Principals, Contract Law"
162,Sunbacker Fiberglass Inc,SUNBACKER FIBERGLASS REPAIR & FABRICATION,ALFRED G LEWIS III G Lewis,President,17453 147th St Se Ste 1,Monroe,WA,98272-1092,"We are a Custom Manufacturer. We do prototypes, buoy's,and signage. We also manufacture a drum heater (for 55 gallon drums and one for a 5gal containe) and have a line of dinghies we build. We also build or construct waterproof buildings."
163,"TEMPEST TECHNOLOGIES, LLC",,DEBBIE Williamson,Director of Applied Technology,1045 12TH AVE NW STE F8,ISSAQUAH,WA,98027-8999,"Sales, service, design, integration, and installation of audio video systems. This Includes videoconferencing, Teleconferencing, Public Address, Training Rooms, Meeting Rooms, Auditoriums, Classrooms, and Boardrooms."
164,"Thornton, James",Eagle Pest Control,James E Thornton,,505 S Wilbur Ave,Walla Walla,WA,99362-3533,We are a full service pest control and extermination company.
165,"RWE Micro, Inc.",,ROBERT EDERER,,16601 NE 50th Way,Redmond,WA,98052-7021,"We provide inspection, testing, safety, and remediation tools and equipment, Which include OSHA safety signage, dehumidifiers, borescopes and air sampling equipment, etc."
166,"OSIRIS ENTERPRISES, LLC",,EVANS  ROBINSON,,12612 SE 158th St,Renton,WA,98058-4726,"WE DO REMODELING, ALL STAGES, CONSTRUCTION CLEAN-UP, JANITORIAL, INTERIOR AND EXTERIOR. CAN WORK AS GENERAL CONTRACTORS OR SUB CONTRACTORS."
167,"Avow iPromo, LLC",,Renee R Thompson,,16603 E Temple Rd,Spokane,WA,99217-9275,Avow can provide contracted services up to $50K.
168,"AQUA DIVE SERVICES, LLC ",,JAMES  Hicks,,9622 Aurora Ave N Ste B,SEATTLE,WA,98103-3221,"Aqua Dive Services specializes in underwater repair and construction. We offer many services under, above, and near the water."
169,"Daniels, Tom",Daniels Consulting,FREDERICK  T DANIELS,,4002 S Coulee Vista Dr,KENNEWICK,WA,99338-5505,Scientific and Technical consultants providing Senior Management Mentoring for operational and work activities
170,"Waunch Construction And Trucking, Inc ",,Nathan Waunch,,11223 Littlerock Rd,Olympia,WA,98512-9281,"Complete Site Prep, Excavation and underground utilities. Road and civil construction"
171,"GENWEST SYSTEMS, INC.",,RENN HANSON,Business Development,170 W DAYTON (SUITE 106A),EDMONDS,WA,98020-5062,"Genwest specializes in: 1) Mapping & GIS, 2) Oil and chemical spill emergency response information management, 3) Incident Command System (ICS) training & drills, 4) Technical training & support, 5) Database & software development"
172,PAULEY RODINE INC,AMERICAN MACHINES,RODNEY  NATHAN,Corp. Sect'y,405 S COLUMBUS AVE,GOLDENDALE,WA,98620-9242,"SUPPLY AND SERVICE METAL FABRICATING MACHINERY, MACHINE TOOLS, TURNING & ROLLING MACHINES, CNC. EQUIPMENT, REPAIR PARTS AND MAINTENANCE AGREEMENTS FOR SAME. PUNCHES, DIES & TOOLING CREATIVE WRITING AND DESCRIPTION SERVICE"
173,Hmg LLC,,ROBERT Holt,,19043 Front St NE,Poulsbo,WA,98370-7354,
174,"JOURNEY LINES, INC.",,STEVE   Abegg,President,3320 121ST ST SW,LYNNWOOD,WA,98087-1526,"Provide charter bus service, employee shuttles, ground transportation, transportation scheduling and routing, transportation consulting, preparation of bids and proposals"
175,"REFACTR IT, INC.",Refactr,Michael Fraser,,1411 4TH AVE,SEATTLE,WA,98101-2249,"Refactr, a Seattle-based startup, was founded in 2017 by veteran and industry experts in cloud and cybersecurity. Refactr’s mission is to accelerate the cultural shift toward modern DevOps workflows among security and IT teams by providing an all-in-one, highly usable, radically simple DevSecOps automation platform. Refactr takes a high-level pluggable approach to connecting DevSecOps tools together so that experts can build IT as Code solutions while collaborating with the spectrum of existing technical talent in their organization. Technology changes, people adapt, and at Refactr, we innovate to make the world more agile through the next shift of digital transformation into IT as Code."
176,Kaeka Group,,DAVID KAEKA,,4338 Clearwater Loop SE,Lacey,WA,98503-4437,"Kaeka Group Inc. is a Veteran owned Native Hawaiian Small Business. We are innovators in the security field who provide proactive solutions. We are specialists in the Security field providing executive protection and physical security.  We operate rigidly so as to maintain order at all times and to have the highest level of discipline and skill in what we do. We have an in-depth elimination process and a standard which must be met to ensure the completion of the mission. This is our foundation for success.  To achieve this level of success we have instituted a rigid training program to address core competencies and lessons learned. Our training philosophy is to pass on as much knowledge as possible to guide us to a successful mission. Integrating strong management teams to ensure contract compliance, customer satisfaction and world class quality will drive our success in quality control."
177,"Wabinga, Lisa",,Lisa Wabinga,,22907 130th Pl SE,Kent,WA,98031-3729,"Company is led by Human Resource Manager who is well versed in all matters of federal personnel administration and conditions of employment to include terminations, discipline, reasonable accommodation, leave administration, employee performance, OWCP, benefits, promotions, harassment and retaliation. Our expert knowledge of employee relations enables our company to quickly derive the basis for employee related issues and assist employees in the informal and formal EEO Discrimination Complaint Process. Our EEO Counselors are retired federal and military service members who have worked across the globe and who have past experience working in agencies to include the Department of Defense, Department of Justice, Social Security, and FEMA."
178,LiftPort Group Inc,,Michael Laine,,1102 A St Ste 512,Tacoma,WA,98402-5010,LiftPort Group is a research and development company focused on Lunar infrastructure.
179,"ROELLICH, JAMES",,James Roellich,,10510 W RICHLAND RD LOT 139,CHENEY,WA,99004-2043,Campground or park attendant with rv. We clean and maintain all facilities as well as accept monies necessary for camping on grounds.
180,"First Pharma Associates, L.L.C.",Riverpoint Pharmacy,Catherine Hudek,,1802 N MONROE ST,SPOKANE,WA,99205-4528,Pharmacies and Drug Stores
181,"Elyon International, Inc.",,CARMEN  NAZARIO,President/CEO,1111 MAIN ST Ste 405,VANCOUVER,WA,98660-2990,"ELYON International, Inc. is a full service technology and business solutions provider to government and Fortune 500 companies. We DELIVER IT solutions and specialized services that include Geospatial,Programatic Support and Professional Staffing,."
182,ABLE SPACES INC.,Able Spaces,YVONNE L Welles,,36308 N Newport Hwy,Chattaroy,WA,99003-0000,"Over 30 years of experience in planning, designing, estimating, ordering, tracing and installing commercial/contract furniture of all types."
183,Veterans Northwest Construction LLC ,,DAVID E NISHIMURA,,2926 6TH AVE S,SEATTLE,WA,98134-2104,"SDVOSB specializing in general construction, commercial and institutional building construction, design-build, demo, electrical, foundations, structures, plumbing, heating, site preparation, renovations and other specialty capabilities."
184,Foster Consulting Services LLC,FCS,CHARLES C Foster,Owner,3908 80th Ave W,Tacoma,WA,98466-3234,"Capable of providing scientific and technical consulting services to university, government, corporate and individuals in nuclear, accelerator and radiation effects physics and of providing computer simulations."
185,"Washington, Annette",AG WASHINGTON WEB,Annette Washington,,108 Factory Ave N Ste 3D,Renton,WA,98057-5579,"Ag Washington Web is a woman-owned and veteran owned digital marketing agency. We provide a variety of online services, education, and training that help our clients brand and market their business across the Internet. A sample list of services include website design • website development • website maintenance and support services •graphic design services • display advertising • CRM setup and maintenance • email marketing • reputation marketing • marketing automation • consultation services •video marketing services • interactive video. We are an independent agency with a big statement in the services that we offer. We know that our clients depend on us to give them the online presence that gives them the exposure they need and the advantage over their competitors. We are responsive and provide our clients with a consultative approach to ensure that we are in line with their expectations so that we can provide the results that fit our clients goals and objectives."
186,Adaptive Cargo Solutions LLC,ACS,Denise Holmes,,4828 145TH PL SW,LYNNWOOD,WA,98087-1818,"Adaptive Cargo Solutions (ACS) designs, develops, and manufactures strong, light weight, composite containers. The Advanced Reconfigurable Containers (ARCs) are specifically constructed to protect all assets in transit, in deployment applications, and at rest. Our composite containers are unmatched for securely shipping and/or storage requirements, including high-value, fragile, and/or environmentally sensitive assets. The composite material is virtually indestructible fiberglass reinforced polymer with a polypropylene resin and provides the strongest performance at the lightest weight. ARCs provide a 10-year life cycle cost reduction when compared to traditional containers."
187,GSPA L.L.C.,Dynamic Underwater Construction Services,Sherry L McPherson,,10616 13th Ave Ct S,Tacoma,WA,98444-2704,Dynamic Underwater Construction Services (DUCS)
188,Waypoint America LLC,Govology,Carroll Bernard,,13204 NE 43rd Ct,Vancouver,WA,98686-5865,"We provide government market education for government contractors, non-profits, and government agencies through Govology.com, an e-learning platform accessible online, on demand, 24/7. We also provide on-location and customized classes and workshops related to government contracting, and acquisition workforce training."
189,StratLynx Inc.,StratLynx,Ruth A Christopherson,,11466 Seabeck Hwy NW,Seabeck,WA,98380-9717,"WOSB, EDWOSB, VOSB, specializing in improving business operations for the Department of Defense. Over 28 years experience as Navy Supply Corps Officer with experience at all levels of operational supply support and strategic management."
190,Dunlap Towing Company,,MICHAEL M HARLAN,,617 N 1st St,La Conner,WA,98257-0000,"Tug and Barge Services - Coastal and International towing, Ship Assist, Tug and Barge Charters. RCP and ISM certified."
191,"Ciais, Andre",Northern Construction,ANDRE CIAIS,,852 S CLARK ST,REPUBLIC,WA,99166-8776,"Andre Ciais is a dedicated veteran that assists his community fire department in fire suppression for the forest service since 2003. For more information, please contact him at (509)775-2030."
192,NW Tel LLC,,Timothy B Absten,,544 S SPRUCE ST,BURLINGTON,WA,98233-2236,Installation of Category and fiber optic cable. Certification of said cables. Fusion splicing. Installation of areal cabling. Surviellance systems.
193,Clark Crane Company LLC,,Calvin D Clark,,21E Ceadarshade Ln,Shelton,WA,98584-7967,"CCC has the capability to clear and grub land in support of site operations, prepare standard slab on grade and deep foundations including driven pile from 4' to 24'. We can also provide shoring to include sheet pile and soldier pile walls. We have the equipment and knowledge to build bridges and roads, field welding. We can provide construction services in remote locations, bring in material by helicopter if necessary. The owner has over 25 years of experience in the construction and logging."
