view,name_of_firm,trade_name,Owner,address,city,state,zip,description
89,Allegiance Trucking LLC,Marwood General Construction,Rueben Gardner,26272 Twelve Trees Ln Nw Ste A,Poulsbo,WA,98370-6401,"Site Development and Underground Utility installations for Commercial, Municipal, Federal and Residential projects."
90,Inbios International Inc,,Estela Raychaudhuri,307 Westlake Ave N Ste 300,Seattle,WA,98109-5235,InBios develops and manufactures in-vitro diagnostic tests for human and veterinary use. The company also performs assay development and contract manufacturing
91,J R PLASTER & PAINT CO INC,,Joy RAGLAND,7100 S SUNNYCREST RD,SEATTLE,WA,98178-2652,"General Contractor Building and Remodeling, Painting contractor"
92,"North Wind, Inc.",,JIM FURR,801 2nd Ave Ste 310,Seattle,WA,98104-1512,"North Wind, Inc. is a full-service environmental management, construction, and engineering firm, specializing in waste management, environmental remediation, design-build, D&D, H&S, environmental compliance, public involvement, natural and cultural resources, NEPA, GIS, and information technology. North Wind, Inc. is part of a family of companies with common ownership under Cook Inlet Region, Inc. (CIRI), an Alaska Native Corporation (ANC). The North Wind family is comprised of six companies and is managed by North Wind Group, a CIRI government contract holding entity. Under North Wind Group, North Wind, Inc. operates under a proven corporate infrastructure that has been in place for over 18 years, a low EMR of 0.76, and a DCAA-approved accounting system to successfully execute Government contracts. North Wind, Inc. offers clients a low risk small business concern that is backed by a mature, financially strong parent organization and an excellent past performance history."
93,"ALL INTENTIONAL, LLC",All Intentional,Oluwatoyin A Aguda,34811 31ST PL SW,FEDERAL WAY,WA,98023-3101,Provide information technology consulting service.
94,"RJS CONSTRUCTION, INC.",,Shannon Sevigny,974 East St,Washougal,WA,98671-0000,"Design-build general contractor; 30 years' experience; 94% return clients; new and renovations ranging $1k-10M; self-perform carpentry, civil, painting, electrical; completed projects throughout the United States"
95,M. J. Takisaki Inc.,Fairway Reatoration,MARK TAKISAKI,1312 S Weller St,Seattle,WA,98144-2051,"NEW AND REMODEL, COMMERCIAL AND GOVERNMENT CONSTRUCTION."
96,CHAMPION ARMS ,,Rosa  Yoxtheimer,18801 E VALLEY HWY,KENT,WA,98032-1219,"Champion Arms is an indoor 10 lane, 25 yard shooting range with classrooms and a training facility. We have been in business for over ten years."
97,"Certified Inspection Services, Inc.",,Emi Byrnes,633 Strander Blvd,Tukwila,WA,98188-2922,"Nondestructive inspection services including: ultrasonic, magnetic particle, visual and liquid penetrant. Industries include, but are not limited to: construction, maritime, manufacturing, aerospace and rail."
98,"Oyolokor, Christopher I Sr",Coyol International Group,CHRISTOPHER (SR.) I OYOLOKOR,1221 2nd St,Cheney,WA,99004-1871,"Growing dynamic MBE/DBE, HUBZone firm in synergistic Strategic arrangement w/Purveyors -Linde Grp. Ferrellgas LLC, providing Ind/Med/Spec. Gases, LPG & Equip W/unbeatable COST saving portfolio of products/services that grows & prospers our govt. clients."
99,"MJ Contractors, LLC",,Janice Ventura,15156 NW Hite Center Rd,Seabeck,WA,98380-9283,
100,"Bristol Prime Contractors, LLC",,Todd  Jones,"1800 4th St, Ste A",Marysville,WA,98270-5044,"Highway, street and bridge construction. Capabilities include bid build and design build of highways, streets, roads, airport runways and bridges. Services include new construction, reconstruction and rehabilitation. Additional services include vertical construction, environmental remediation, fuel systems, range, and unexploded ordnance response throughout the US and select OCONUS locations. A spectrum of services for public and private sector clients."
101,HMS Management LLC,Liberty Inn,Chalon  Burns,1400 Wilmington Dr,Dupont,WA,98327-8770,HMS management LLC is a Korean family owned business. The business was started in 2014 when Best Western Liberty Inn was purchased. Best Western Liberty Inn is located right next to the Joint Base Lewis - McChord (JBLM) Our goal is to contribute to our small community and military base by providing jobs and top quality accommodations.
102,AAA EAZE ABATEMENT LLC,,Roxanne Bradshaw,1133 E Hemlock St,Kent,WA,98030-6239,"We specialize in cleaning up hazardous materials in residential and commercial projects. First we identify suspect materials, then perform abatement, demolition, and remediation services. We also can provide construction remodeling and restoration."
103,LANGUAGES PRO LLC ,,Muhammed T Memon,701 5th Ave Ste 4200,Seattle,WA,98104-7047,"Languages Pro, LLC is a Seattle, WA based translation agency that provides high-quality translation services and interpreter resources in over 120 languages. With the network of over 2500 translators worldwide we can provide the translation services round the clock. Languages Pro has been providing translation services to individuals and corporations in different verticals. We can also work with you on projects with compressed timelines and tight deadlines. Working with network of our translators we can turn your documents quickly without sacrificing quality. We focus on our client’s satisfaction and comfort level at all times. The key to our success is our ability to combine technology with linguistic capability to provide fast, quality service with competitive pricing."
104,"Krall, Kurt",KURT D KRALL TRUCKING,Kurt D Krall,2421 Loop Rd,Stevenson,WA,98648-6320,"Kurt D. Krall Trucking provides save and quality trucking services for the Washington and Oregon. Some of our services include log hauling, road building, and fire prevention."
105,FERGUSON FORESTRY SOLUTIONS LLC,,Tracey L Ferguson,938B VANASSE RD,KETTLE FALLS,WA,99141-9766,Ferguson Forestry Solutions LLC specializes in the cutting down and removal of trees and potential fire hazards. We also offer road restoration and maintenance.
106,"Custom Window Tinting and Graphics, Inc.",,Maria L Macias,912 E Terr Hts Way,Yakima,WA,98901-3057,Install Solar control window Film. Safety & Security Film. Decorative Film. Vinyl Graphics signage.
107,Riboz LLC,,Kambiz Mousavi,5201 22nd Ave NE Apt 102,Seattle,WA,98105-5786,
108,MICHAEL ANTHONY INCORPORATED,,Michael A. Lee,2401 4TH AVE STE 150,SEATTLE,WA,98121-1438,"Michael Anthony Inc. dba Express Employment Professionals is a Seattle based staffing and recruiting company with capabilities to fill high volume positions for call centers, distribution centers, and other companies in need of a recruiting partner to help manage and maintain seasonal, contractual, and departmental workforce needs. Express is a registered ISO 9001:2015 company providing human resource staffing services."
109,"Stasio Construction, LLC",,Maria Stasio,310 Forest Park Rd,Woodland,WA,98674-7204,Stasio's Construction LLC is a construction company specializing in remodel and renovation of commercial and historic buildings.
110,"COLOR GRAPHICS SCREENPRINTING, INC.",COLOR GRAPHICS SCREENPRINTING EMBROIDERY,Voshte Gustafson,2540 CRITES ST SW,TUMWATER,WA,98512-6135,"Specialties: Advanced printing techniques and equipment to produce quality apparel in-house to meet your needs. We also offer Promotional products, Signs, Recognition awards, Trophies, Lasers, Bling, Sandcarving and Sublimation"
111,"IMMUNOSOLUTIONS, INC.",,MICHAEL  P Pena,42848 SE 172ND ST,NORTH BEND,WA,98045-9358,Provide high quality training and consulting related to WMD (Weapons of Mass Destruction) and terrorism.
112,"NUEVO, LLC",,ROBERT  L HERNANDEZ,7505 SE 28TH ST APT 208,Mercer Island,WA,98040-2745,Software development and deployment of managed telecommunications services and mobile applications.
113,XL Sci Tech Inc ,,Yongren Ben Peng,3100 GEORGE WASHINGTON WAY STE 3,RICHLAND,WA,99354-1663,"microsphere beads glasses fabrication, data analyses, glass specialty research and manufacturing, composite research and manufacturing"
114,"NORTH WIND, INC.",NORTH WIND ENVIRONMENTAL,JIM FURR,507 KNIGHT ST STE A,RICHLAND,WA,99352-4258,"North Wind, Inc. is a full-service environmental management, construction, and engineering firm, specializing in waste management, environmental remediation, design-build, D&D, H&S, environmental compliance, public involvement, natural and cultural resources, NEPA, GIS, and information technology. North Wind, Inc. is part of a family of companies with common ownership under Cook Inlet Region, Inc. (CIRI), an Alaska Native Corporation (ANC). The North Wind family is comprised of six companies and is managed by North Wind Group, a CIRI government contract holding entity. Under North Wind Group, North Wind, Inc. operates under a proven corporate infrastructure that has been in place for over 18 years, a low EMR of 0.76, and a DCAA-approved accounting system to successfully execute Government contracts. North Wind, Inc. offers clients a low risk small business concern that is backed by a mature, financially strong parent organization and an excellent past performance history."
115,"Ojeda Business Ventures, LLC","OJEDA-Hiline, OJEDA-Wildlands (OWL)",LUIS OJEDA,5790 W Van Giesen St,West Richland,WA,99353-9309,"General Contractor, Remediation, Staff Augmentation, Historical Remodeling, Operations and Maintenance"
116,"A&G Workplace Law, PLLC",,Andy Granbois,8440 SE 82nd St,Mercer Island,WA,98040-5641,"Legal Services, EEO Investigative Services, Workplace Investigations."
117,HWA GEOSCIENCES INC.,,Kristina Purrier,21312 30TH DR SE STE 110,BOTHELL,WA,98021-7010,"Founded in 1978 HWA provides geotechnical & pavement engineering, hydrogeological, geoenvironmental, construction inspection & materials testing. Located in Bothell our office includes a materials testing lab with AASHTO R18 & A2LA Accreditations"
118,KIRA Government Services LLC,,Richard J Rinehart,4208 198th St Sw Ste 104,LYNNWOOD,WA,98036-6736,"Facilities Support Services, Support activities for air transportation and logistics."
119,Pearson Drilling Inc,,Terri Trew,5810 152ND ST NE,MARYSVILLE,WA,98271-7504,"Site Preparation Contractor, Highway, Street and Bridges Construction"
120,"Tinnea & Associates, LLC",,Ryan TINNEA,35320 SE Center St,Snoqualmie,WA,98065-9216,"Perform corrosion testing, materials selection, cathodic protection design, coatings on bridges, dams, piers, marine, building, parking, aquarium, school, & historic, water, wastewater, drinking water, copper-lead issues. Training, technology transfer."
121,Phoenix Trading Inc.,Amercare Products Inc,Julie Siegel,17661 128th Pl NE,Woodinville,WA,98072-8783,"PERSONAL CARE PRODUCTS, JANITORIAL SUPPLIES, HOSPTIAL SUPPLIES, CLOTHING & APPAREL, TEXILES, MADE TO ORDER ADMISSION KITS. **CALL TOLL FREE: 800-556-6322**"
122,"New Hayden Empyre Enterprises, LLC",New Hayden Finishers,Walter  Hayden,9330 54TH AVE S,SEATTLE,WA,98118-5518,"New Hayden Finishers does full Janitorial services. We thoroughly sweep, clean all surfaces, mop, stairwells hallways, HEPA vacuum, clean windows glass mirrors tables all amenities shampoo rugs, strip, buff and wax floors dust, cabinets desks pipes general clean to every negotiated space. As well as scheduled janitorial maintenance to buildings, schools, shopping centers, military installations, precincts, jails, offices, banking institutions, We do full Parking Lot Care Services remove debris and clean concrete as well as oil and gas from designated cement areas. We have truck street sweepers, and walk behind street sweepers, power blowers, hot & cold water pressure washers, flat surface cleaners, and power nozzle cleaners. We provide hot water pressure washing flat surface cleaner pressure washer from around gas pump island or other identified areas. power wash bathrooms remove garbage, power blow parking area remove unwanted garbage. We also provide striping and seal coating."
123,Green Project Solutions Group LLC ,,Lawrence Adeyemi,10109 62nd DR NE,MARYSVILLE,WA,98270-6611,"25 years of project and program management, engineering contract procurement, and best value procurement for energy and water infrastructure projects. Climate change and carbon footprint reduction/ resiliency design/sustainability and green energy integration into capital projects. Design, selection of materials and installation services of solar and wind projects. Clean energy capacity building and training."
124,DOYON LOGISTICS SERVICES LLC,,William Line,3450 S 344th Way Ste 100,Federal Way,WA,98001-5931,"Doyon Logistics Services provides comprehensive operations support services, facilities renovation, and equipment relocation and installation for existing facilities."
125,TOTAL SITE SERVICES LLC,,Shannon  Toranzo,2780 Salk Ave,Richland,WA,99354-1787,"TSS is highly qualified, experienced full service design build construction contractor capable of self performing many phases. civil, horizontal, concrete, carpentry, finish carpentry, Other capablts:remediation, staffing, fabrication, trucking, sewer, highway construction"
126,"T. YOROZU GARDENING CO., INC.",,Kenneth Yorozu,13335 32ND AVE S,Tukwila,WA,98168-3957,
127,TANZ MECHANICAL INSULATION LLC,,SEAN  P TANSY,29 E 27TH AVE,SPOKANE,WA,99203-2430,
128,"M.A.D. CONSTRUCTION, LLC ",,KEVIN  L YOUNG,22002 38th Avenue East,Spanaway,WA,98387-6875,"M.A.D. IS YOUR GO TO CONTRACTOR FOR ALL YOUR CONSTRUCTION NEEDS APPROCHING ALL PROJECTS WORKING WITH THE OWNER USING 'BEST PRACTICES' & 'LESSONS LEARNED' PROTOCOL EXCEEDING CLIENT SATISFACTION GC, DESIGN BUILD, TI, COMMERCIAL, INDUSTRIAL, RENOVATIONS, ETC"
129,SAMISH COMMUNICATIONS LLC,,MICHELLE JOHNSON,111 3RD AVE SW,TUMWATER,WA,98512-6508,RADIO COMMUNICATIONS SERVICES FOR EMERGENCY INCIDENT RESPONSE
130,"CONTROL TECHNOLOGY, INC",CONTROL TECH,VERN Braly,12817 NE 126TH PL,KIRKLAND,WA,98034-7721,"Providers of automated equipment, tooling, robotic equipment, and testers. Providers of electrical and controls engineering services. Designers and builders of electrical and control systems. Fabricators of ANSI/UL 508A electrical or control panels."
131,Battle Line Protection LLC,,Keith L Battle,609 S 38th Ct,Renton,WA,98055-5731,"A 24-hour on-site security business for government buildings and worksites, hotels, apartment complexes, condominiums, constructions sites, large and small business complexes. Protecting assets, tools, supplies as well as a safe work environment for employees 24/7. From highly detailed reports, foot patrols, and building checks we tailor services of all needs."
132,HEFFLER CONTRACTING GROUP,,Patrick A Heffler,825 Legion Way Se Ste D5,Olympia,WA,98501-1586,"WE ARE A DEPENDABLE 8A & HUBZONE CERTIFIED DESIGN BUILD VERTICAL AND HORIZONTAL CONSTRUCTION FIRM. WE SELF PERFORM MANY TRADES. RENOVATIONS,UPGRADES,ENVIRONMENTAL,TAXIWAYS,RUNWAYS,AIRFIELDS,AIRFIELD MAINTENANCE,JOINT SEALS,ROADS,PARKING LOTS,DRAINAGE,WATER,SEWER,GAS,PLUMBING,ELECTRICAL,HVAC,FIRE SUPPRESSION,FIRE ALARM,NEW CONSTRUCTION,CONCRETE,ASPHALT,LANDSCAPING,FENCING,MASONRY."
133,"TRI COAST CONSTRUCTION, LLC",,Andrea Ferguson,755 VANDERCOOK WAY STE 202B,LONGVIEW,WA,98632-2945,Tri Coast Construction provides a full service compliment of public works services from the aspect of a general contractor.
134,"Tahiru, Lukman",Malgu Suppliers,Lukman M Tahiru,1120 205th St E,Spanaway,WA,98387-8543,Full service janitorial and cleaning business. Cleaning exterior and interior surfaces.
135,"P & L GENERAL CONTRACTORS, INC.",,RON WALLIN,2780 NE GOLDIE STREET # C,OAK HARBOR,WA,98277-2702,"General specializing in design/build construction, industrial buildings and warehouses, alterations, renovations, pre-engineered steel buildings, airfield maintenance, concrete work and repairs, runways,concrete construction, fire stations, modular units"
136,"RLA ENGINEERING, LLC",,Raymond Burney Jr,305 SE Chkalov Dr Ste 111-311,VANCOUVER,WA,98683-5292,"Engineering design services firm (non-construction). Our core competencies are in electrical, mechanical, software/firmware design engineering and project management. We provide two services: Managed Services Provider (MSP) and Outsourced Design (OD). Our MSP service augments a client's staff with our assigned on-site engineers, technicians, operators and/or project managers. Our OD service supports a client through the entire product development process via our assigned technical asset team."
137,SMS CLEANING INC,SMS,Sang So,8033 Pacific Ave,Tacoma,WA,98408-5826,"janitorial services, floor waxing, stripping, sealiing, carpet cleaning, window cleaning."
138,"PLATEAU SOFTWARE, INC.",,Vishwenath S Kizhapandal,4580 KLAHANIE DR SE,ISSAQUAH,WA,98029-5812,"Commercial off the shelf audit and compliance management software, customer specific customizations, training and support Custom Design software solutions/applications"
139,"DANFORTH, JEFF",DANFORTH SIGNS & CARVING,JEFF DANFORTH,12700 SE Angus St,VANCOUVER,WA,98683-3810,"Custom Woodworking - especially display and trail signs, cabinets, molding, plaques, tables Engineering project management CAD services"
140,ACCEL BI CORPORATION,Accel BI,SANJAY Shirude,2406 185TH PL NE,REDMOND,WA,98052-6035,"Staffing;IS Analysis & Integration;Electronic Data;Maximo, Big Data, Mobile, Tibco,J2EE, .Net, XML;COTS, GOTS, (Oracle, SAP,PeopleSoft, Oracle);Databases, Data Warehousing;SOA, Cloud, SAS, Admiistration;PC, Helpdesk;Microsoft, Sales, Training"
141,Pyramis Aerospace LLC,,JUAN PABLO  PARDO,402 S 333 St Unit 128,Federal Way,WA,98003-6073,Integral parts and service support for civilian and military aircrafts.
142,ALLIED ROOFING INSTALLATION SERVICES LLC,ALLIED ROOFING,Eliseo Carrillo,190 S 312TH ST,FEDERAL WAY,WA,98003-4079,"our owners have over 20yrs of roofing experience. we specialize in shingle roofs, metal roofs, torchdown roofing and tpo/pvc roofs. We make use of a variety of first rate residential and commercial roofing materials and can help you choose the one that meets your needs and compliments the look of your structure. Turn to Allied Roofing for new construction or roofing repair needs."
143,Adaptive Cargo Solutions LLC,ACS,Denise Holmes,4828 145TH PL SW,LYNNWOOD,WA,98087-1818,"Adaptive Cargo Solutions (ACS) designs, develops, and manufactures strong, light weight, composite containers. The Advanced Reconfigurable Containers (ARCs) are specifically constructed to protect all assets in transit, in deployment applications, and at rest. Our composite containers are unmatched for securely shipping and/or storage requirements, including high-value, fragile, and/or environmentally sensitive assets. The composite material is virtually indestructible fiberglass reinforced polymer with a polypropylene resin and provides the strongest performance at the lightest weight. ARCs provide a 10-year life cycle cost reduction when compared to traditional containers."
144,SUPREMO LLC,,Sahil Singh,23425 SE BLACK NUGGET RD APT G102,ISSAQUAH,WA,98029-6933,We provide reliable and affordable software solutions. Also Provide software support and maintenance.
145,SAYO ART LLC ,,Nicolle R Fuller,16222 NE 26TH ST,BELLEVUE,WA,98008-2206,"Sayo-Art creates bold, dynamic art (illustrations, design and animation) to visually communicate complex concepts, ranging from physics to biology, and transportation to geology. Experience working with several government agencies to communicate their mission to the public for press releases, websites, publications (pamphlets, annual reports), press events, and legislative presentations."
146,LASAI TECHNOLOGIES LLC,,Anil Reddy,4084 148TH AVENUE NE,REDMOND,WA,98052-5165,
147,"Pacific Entrance, LLC",,Darrel Watlington,1788 S Harrier Rd,Ridgefield,WA,98642-7609,"Pacific Entrance is an electric wiring contractor that specializes in installing commercial automatic doors and security systems. Here we offer high quality service at a reasonable price and ensure that our AAADM Certified technicians & licensed electricians will provide expert installations on every project. Our years of experience has made us proficient in working on all types of buildings and dwellings from hospitals to grocery stores and all in between. Pacific tailors its services to each of its clients by engineering systems that fit the company and community. Working with all ADA automatic door brands and security systems makes it easy to find the perfect system and our techs will complete each install with full system integration. In addition, Pacific offers all low voltage wiring services like internet and fiber optic cabling, customized wiring, camera alarm systems and provide 24/7 emergency services. For more information visit www.pacificentrance.com."
148,"Salinas Construction, Inc. ",,JOHN SALINAS II,7804 40th Ave W,Mukilteo,WA,98275-2814,"SALINAS CONSTRUCTION INC. PERFORMS HEAVY HIGHWAY, AIRFIELD,AND MUNICIPAL CONCRETE CONSTRUCTION PROJECTS FOR THE MILITARY,STATE,FAA,MUNICIPAL AND FEDERAL CLIENTS. WE SPECIALIZE IN CONCRETE SLIP FORM AND HAND PAVING."
149,D15 Family Inc.,,Thaveepho Douangaphaivong,16008 30th SE Dr,Mill Creek,WA,98012-7830,"Providing general and office product procurement and delivery. Providing sign design, development and installation including large building signs, ADA signs, shipboard/vessel/aircraft signs, wall murals, building exterior murals, digital display systems, virtual presenters, holographic presenters, interactive kiosks, interactive windows, banners, floor decals, vehicle wraps. Providing promotional products and awards/trophies. Providing organizational productions."
150,"Tellistic Technology Services, LLC",Washington Operations,Ivan Lumala,21157 SE 28th Pl,Sammamish,WA,98075-7416,"Microsoft MCSE, Office 365 Certified, Azure Certification"
151,"Frost, George W",GW Frost & Associates,George W Frost,32169 33rd Ave SW,Federal Way,WA,98023-2275,"GW Frost & Associates is a communications and community development consulting firm. We provide community outreach, marketing and communications services. We provide urban planning and property development services. We specialize in providing outreach to ethnic, multi-cultural communities and businesses, including language translations and graphic communications. Has capability to do work nation-wide; especially focused on King, Pierce and Snohomish counties in Washington State."
152,SEATTLE GUMMY COMPANY,,Feng (Connie) Wan,4209 257TH PLACE SE,ISSAQUAH,WA,98029-5746,Research and development of nutraceutical and nutritional formulations
153,Columbia Navigation Inc,,ERIC  WEATHERMAN,365 West 2nd,Kettle Falls,WA,99141-0000,"Marine/shoreline stabilization work. Storm/flood debris disposal, landclearing, thinning, mobile chipping/grinding, demolition and disposal. Log boom fabrication and installation. Water monitoring systems installation. Marine Salvage and recovery."
154,A J G B INTERNATIONAL INC,AJGB ENVIRONMENTAL ENGINEERING SPECIALISTS,ALEJANDRO  J GONZALEZ,111 162ND AVE SE,BELLEVUE,WA,98008-4629,"Remedial Investigation, Feasibility Studies at contaminated sites. Wastewater engineering. Solid and hazardous waste management.Water resources services including flood control, water supply, hydropower studies, Renewable energy. watershed management."
155,"Arnold, Barbara",ARNOLD SERVICES,Barbara Arnold,4602 45TH AVE NE APT 386,TACOMA,WA,98422-4415,"Arnold Services offers customized computer training and technical writing services. We provide desk side, as well as classroom style computer training in the Microsoft Office and Adobe Products for all levels of users. Our staff includes several highly skilled trainers, enabling us to handle any size training assignment and run concurrent classes, if needed. The technical writing services include writing, editing, and formatting of technical manuals and procedures, such as construction, policy and project management manuals, and capital facilities plans."
156,"Federal Marine And Defense Services, LLC",,JASON WALKER,8000 5th Ave S,Seattle,WA,98108-4303,SHIP REPAIR
157,"Anc Custodial Services, LLC ",,Rico Anderson,7613 Kodiak Ave Ne,Lacey,WA,98516-4402,"Established in 2007 as a Janitorial Service, ANC over the years has involved into a Total Facility Services Management Company. In addition to our services, ANC is also a complete Janitorial and Sanitary Supply."
158,"BIOTECH NATURALE, INC",,Kulvinder S Gill,640 SW SUNDANCE CT,PULLMAN,WA,99163-2080,"gene transfer, genomics, genotyping, genetic fingerprinting, crop improvement"
159,Kitsap Composites Inc,,Joy Mazelli,1525 Vivian Ct,Port Orchard,WA,98367-6400,"SPECIALIZE IN RESEARCH & DEVELOPMENT, MANUFACTURE & REPAIR, AND TESTING OF RADOMES, REFLECTORS, POLARIZERS & MICROWAVE COMPOSITE STRUCTURES PRIMARILY IN THE AEROSAPCE INDUSTRY. WE ALSO MANUFACTURE COMPOSITE DUCTING AND FAIRINGS."
160,"Commercial Technician Services, Inc.",,Britaini Parris,5009 Pacific Hwy E Ste # 10,Fife,WA,98424-2643,"Commercial Technician Services (CTS) is proud to serve commercial kitchens across the Pacific Northwest region. We understand that open communication, trusted service, and quick results are critical for our clients. Our technicians are knowledgeable, highly skilled, and deeply committed to providing the highest quality of work and best solution possible to get your back in service. From brand new restaurants to supermarkets and school cafeterias, rest assured, no kitchen is too small or too large for us to support.  Get the professional assistance you need. CTS provides installation, preventive maintenance, and service of hot- and cold-side food preparation equipment. Our technicians have an average of 10 years of experience in industrial kitchen equipment diagnostics and repairs."
161,"Synergistics, Inc.",,JOSE HERRERA,1020 N Center Parkway Suite D,Kennewick,WA,99336-7161,Project Management Administration Controls Training Risk Analysis Financial Planning Scheduling Estimating Information Technology Earned Value Management Technical Consulting Staffing Records Software Development Procurement
162,Blue Pacific Global Logistics Incorporated,Blue Pacific Expedited,Matthew J Holmes,11601 State Route 302 NW Ste C,Gig Harbor,WA,98329-7258,"Business management and consulting services pertaining to logistics and freight transportation arrangement, process, and distribution."
163,PACIFIC FEDERAL CONSTRUCTION LLC,pacific federal construction,ANTWAN  L Mason-West,106 Sweet Birch Dr,Longview,WA,98632-9599,"General Contractor specializing in all types of general construction, framing, finish carpentry, remodel, new construction, roofing, plumbing, gutter fabrication and installation, civil engineering, historical restoration,electrical and"
164,"Del Sol, Inc",,Priscilla Martinez,611 W COLUMBIA ST STE 8,PASCO,WA,99301-6807,"Janitorial & Cleaning Svcs., Grounds Maintenance, Landscaping, Facility/Bldg. Maintenance, Shelf Stocking, Carpet & Window Cleaning, Floor Maint., Irrigation Systems, Mess Attendant Svcs."
165,5 MICRONS INC.,,Pascal  Jean-Baptiste,4702 DAVIS AVE S,RENTON,WA,98055-6225,"At 5 Microns, we provide thorough surveys of Asbestos; Lead, Mold, and Air Quality. All of our inspectors are AHERA, Lead Renovator and Asbestos worker certified. We serve commercial and residential clients throughout the United States."
166,Cortinas Painting Inc,,Ian Cortinas,700 Yuma St,Milton,WA,98354-8952,Commercial Painting-Interior/Exterior Tenant Improvements Water Repellant Pressure Washing Graffiti Removal
167,"ON TARGET H.V. TRAINING, LLC",,Leland  Morgan,17305 NE Horne Rd,Brush Prairie,WA,98606-9703,"On Target High Voltage Training, LLC. provides training from the electrician’s point of view on when, why and how to maintain HV equipment. Training could be as basic as understanding prints and schematics to analyze tests results. Courses can be customized to fit your utilities’ needs and can be provided on-site."
168,"GMJ TECHNOLOGIES, INC.",,Oluwatosin Dada,4820 148TH PL SE,EVERETT,WA,98208-8812,
169,Oqpoint LLC,,Earl Mann,2521 152nd Ave NE Ste 15A1,Redmond,WA,98052-5574,"OQPoint, is a US based software development company located in Seattle, Washington area that helps organizations design & implement highest quality product. We provide software development, software quality assurance and outsourcing solutions. At OQPoint we focus on helping customers leverage technology in achieving real business benefits with outstanding quality."
170,"L & R Marine, LLC",,Luis A Rivera,802 E Main ST,Battle Ground,WA,98604-4520,"ship repair and maintains for military and commercial, work on a cruise boat, ferry, yacht ext, repair electrical equipment, install new electrical equipment, install and repair pumps and motors ext."
171,"MCDONALD EXCAVATING, INC. A WASHINGTON CORPORATION",,Ryan W McDonald,2719 MAIN ST,WASHOUGAL,WA,98671-2603,"A Native American Owned Small Business for 18 years registered in both OR and WA as a MBE and a DBE specilaizing in Earthwork, excavation, embankment, utilties (Water, Sewer Storm), Retaining Walls, Contaminated Materials Hauling and Erosion Control."
172,AIRCRAFT CABIN SYSTEMS L.L.C.,,Richie Sugimoto,18080 NE 68TH ST BLDG B,REDMOND,WA,98052-8515,"ACS manufactures FAA-certified, high-quality, high-def LCD monitors for use in aircraft, from private and business jets to government and commercial planes. We offer products ranging in size from 17 inches to 65 inches."
173,"JKT Development, Incorporated",Jamestown Excavating,Kyle Johnson,1033 Old Blyn Hwy,Sequim,WA,98382-7670,"general contractor, property management, maintenance preventive, predictive,recurring,testing,electrical, mechanical,HVAC,carpentry,remediation,technical publication,demolition,energy systems,fire prevention,telecommunication,document conversion,GIS"
174,"Oatridge Security Group, Inc.",,CY OATRIDGE,2111 S 90TH ST,TACOMA,WA,98444-1822,"Full-service physical security provider delivering armed, unarmed, uniformed & plain-clothed security professionals. In addition we provide and install intrusion detection systems, access control systems, fire alarms, mass notification & CCTV systems."
175,"MBI Construction Services, Inc.",,Joseph Menard,2016 Fruitvale Blvd,Yakima,WA,98902-1220,"Metal Welding Custom Cabinets Chairs Doors,conveyors, Food processing Tanks, Stairs, Ladders, Handrails, Emergency, Boilers Generators Duct Electrical Structural Beam ,Fortification, HVAC, Repair, Installation, System designs,Signs.Building Erection."
176,"Inland Empire Fire Protection, LLC",,MIKE SCARPELLI,3832 E Boone Ave,Spokane,WA,99202-4505,"IEFP provides fabrication, installation, inspection, maintenance, and repair of fire alarms and fire sprinkler systems for all types of commercial and residential buildings."
177,"Washington, Annette",AG WASHINGTON WEB,Annette Washington,108 Factory Ave N Ste 3D,Renton,WA,98057-5579,"Ag Washington Web is a woman-owned and veteran owned digital marketing agency. We provide a variety of online services, education, and training that help our clients brand and market their business across the Internet. A sample list of services include website design • website development • website maintenance and support services •graphic design services • display advertising • CRM setup and maintenance • email marketing • reputation marketing • marketing automation • consultation services •video marketing services • interactive video. We are an independent agency with a big statement in the services that we offer. We know that our clients depend on us to give them the online presence that gives them the exposure they need and the advantage over their competitors. We are responsive and provide our clients with a consultative approach to ensure that we are in line with their expectations so that we can provide the results that fit our clients goals and objectives."
178,LNT/Definitive Building Maintenance Inc.,,Larry Barnett,21818 66th Ave W Ste 5,Mountlake Terrace,WA,98043-2170,"LNT is a customer service organization providing comprehensive cleaning services for all facets of the janitorial industry. LNT specializes in floor-care and DEFINITIVE cleaning with exact results. Our ability to start a project at the time and desired place of the client is unsurpassed! LNT is the one stop shop for all cleaning expectations. Construction Cleans, Initial Clean, Move-out Cleans, Debris removal, Dump runs and more."
179,"MINISTER & GLAESER SURVEYING, INC",,DANIEL   Renton,2200 E EVERGREEN BLVD,VANCOUVER,WA,98661-4317,Land Surveying
