name_of_firm,trade_name,category,owner,address,city,state,zip,description
Bull of the Woods Dozing LLC,,veteran-owned,Ed G Taft,23410 Wallitner Rd,Arlington,WA,98223-4874,"road maintnance, road decommisshining, road building, bridge instalation"
Blue Pacific Global Logistics Incorporated,Blue Pacific Expedited,veteran-owned,Matthew J Holmes,11601 State Route 302 NW Ste C,Gig Harbor,WA,98329-7258,"Business management and consulting services pertaining to logistics and freight transportation arrangement, process, and distribution."
"Marine Vacuum Service, Inc.",Marvac,veteran-owned,TOM  MYLER,1516 S Graham St,Seattle,WA,98108-2820,"24Hr Emrgncy Spill Respnse,Enviro Svcs,Hazardous Waste Transp,Fuel Trnsfr,Tank&Bilge Cleaning,Oil Process,Sludge Process,UST Removal&Install, Demolition&Site Restoration, ,Hwy Easement Cearing,.Environmental Construction, Fish Habitat improvements,"
CLICK-CONSULTANTS LLC,,veteran-owned,Karen McNamara,10426 LEEWAY AVE NW,SILVERDALE,WA,98383-8804,"Provide Leadership Development Training, Communications Strategies, Incorporation of Generations and Diversity for desired outcomes, Classroom Management Strategies, Motivational Key Notes, Team Building, Strategic Planning Workshops"
Dynamic Environmental Services Inc ,,veteran-owned,Jody D  Mask,18403 E Cowley,Spokane Valley,WA,99016-9524,"Asbestos Abatement, Lead Abatement, General Contractor."
"Bulletproof It, LLC",bulletproof-it,veteran-owned,Jeff Meining l Meining,3104 Nw 115th St,Vancouver,WA,98685-3436,"BULLETPROOF-IT offers optimum protection armor solutions to any and all your bullet resistance needs. We offer armor solutions from Body Armor, to Automotive, Aircraft, Marine and Architectural Armor solutions.  Bulletproof-it can provide a wide range of personal armor solutions to meet the needs of both international and domestic end users. At BULLETPROOF-IT, We understand that only the best is acceptable for body armor and tactical equipment. We produce a vast range of body armor which is designed to provide effective protection in high-risk situations. Our products are all National Institute of Justice (NIJ) tested to meet and exceed satisfaction standards. Bulletproof-it Ballistic vest, helmets, tactical gear and equipment is being used by civilian, law enforcement, and armed forces around the world. We take no chances when it comes to saving lives."
Blue Trident - Newton JV,,veteran-owned,Emmanuel Bautista,1120 Pearl St,Bremerton,WA,98310-2838,"General Contractor specializing in commercial and industrial construction. Performs tenant improvements, demolition, stucco, plaster and site work. Also provides in-house Professional Engineering capabilities."
"Edwards, Vernon J",Vernon J Edwards Consultant,veteran-owned,VERNON  EDWARDS,341 ASHLEY DR,UNDERWOOD,WA,98651-9146,Acquisition training
Brothers Pipeline Corp,,veteran-owned,Rodney R Welch,954 JACKSON HWY S,TOLEDO,WA,98591-9418,Oil & gas pipeline maintenance and construction
"VET FIRST CONSTRUCTORS, LLC",,veteran-owned,Dennis Ray Farrow,1020 S 344TH ST STE 209,FEDERAL WAY,WA,98003-8713,Vet First is a HVAC and Plumbing contractor operating in the Pacific Northwest
"BUTLER GEOSCIENCE, LLC",,veteran-owned,Brian F Butler,18384 RIDGEFIELD RD NW,SHORELINE,WA,98177-3224,"Brian Butler, principal and owner, brings over 30 years of diverse experience in environmental consulting, engineering geology, resource geoscience, communications skills and meeting client expectations. Butler Geoscience offers consulting to assist government owners meet environmental compliance and property management responsibilities including due diligence, environmental assessment and remediation, water quality assessment and source control, permit compliance, and field services."
"Bennett, Dewey",Bennett Consulting Services,veteran-owned,Dewey W Bennett,1198 Leahy Dr,Coupeville,WA,98239-9726,"Construction Management, Construction Quality Control, OSHA (Safety) EPA (Environmental) DOT (Transportation) ODP (Homeland Security)Construction specializing in remediation & maritime. Compliance, Training, and Assistance"
APGOOD S TAXES AND ACCOUNTING ,,veteran-owned,Patrick L Joy,708 LEBO BLVD,BREMERTON,WA,98310-3325,Provide Personal and Business income tax preparation. Small business accounting and financial record keeping assistance.
"NORTHWEST MARITIME CONSULTANTS, LLC",,veteran-owned,Mark Allen,14210 80TH ST E,PUYALLUP,WA,98372-3619,Marine consultants
"ECO TEC, INC",,veteran-owned,HERBERT R PEARSE,18617 108TH ST CT KPN,GIG HARBOR,WA,98329-5505,"http://www.eco-tec-inc.com Environmental consultant/remediation contractor and manufacturer of environmentally compatible remediation products. Eco-Tec, Inc. provides site assessment, in-situ remediation, and general remedaiton services."
"Hainline & Associates, Inc.",,veteran-owned,Jim  Stoner,1215 Fourth Avenue Suite 1200,Seattle,WA,98161-1098,"Hainline provides project management, construction project management, K-12 construction management, scalable services, scheduling services, delivery method advisement, and project forensics and analysis – all enveloped in our skillful and seamless construction management approach."
"Integrated Global Staffing, LLC",JLH Group,veteran-owned,Jessica Holloway,1359 Columbia Park Trl,Richland,WA,99352-4770,"Key Differentiators: ● Our Employees - Qualified and screened for your specific needs. ● Customized Solutions – We place the right people in the right positions to meet your goals and ensure low employee turnover. ● Local & Regional Expertise, National Coverage – Proven ability to provide qualified candidates for Staff Augmentation and/or direct placement positions. Core Capabilities: We provide the following services: ● Project Staffing – Actively recruiting qualified candidates to support your project and ongoing requirements. ● Direct Hire Staffing - Recruit and place the right employees for your organization. ● Human Resource Consulting – Enhance your employee retention, design and administrate benefits plans, develop incentives to align organizational cultures, and maintain compliance with local, state and federal laws."
"FRONTIER MARKET SOLUTIONS, LLC",,veteran-owned,Sean Brownlee,21169 Estate Dr,Mount Vernon,WA,98274-7049,"Frontier Market Solutions, LLC dba Ravenox is your solution for Military and Commercial Rope, Cord, Lacing Tapes, Twine, Bungee, Narrow Fabrics, Kernmantle, Commercial Moving and Web Building."
"U. S. Electrodynamics, Inc. ",U.S. Electrodynamics ,veteran-owned,Darryl  White,66C Teleport Drive,Brewster,WA,98812-0000,"US Electrodynamics, Inc. is a privately owned communications company using a combination of satellite and terrestrial to deliver flexible solutions to the video, voice, data, and internet service needs for all commercial and government applications."
"Grace Premier Fitness And Wellness Products, Inc.",Black Iron Strength,veteran-owned,THOMAS  W GRACE,3407 Ne 113th St,Vancouver,WA,98686-4348,"Leader in the fitness industry since 1992. We are a SDVOB company. Expert in Quality and Innovation. All of our products are made in the USA. Black Iron Strength® has been awarded 15 US Patents, which are more patents than all of the other freeweight equipment companies combined. Our commercial strength equipment is used by premier college and pro teams as well as fitness centers, home gyms, and personal training facilities. Black Iron Strength® manufactures the only commercial grade adjustable dumbbells on the market and has the patent on antimicrobial copper handles, which protects the user 24/7/365 from germs."
"HOTCHKI CONSTRUCTION, LLC",,veteran-owned,Tim Hotchkiss,16808 N DEAN RD,NINE MILE FALLS,WA,99026-9389,Residential and commercial remodeling
Chandler Solutions LLC,,veteran-owned,Christopher Chandler,2617 39th Ave W,Seattle,WA,98199-3109,We are a SDVOSB operating in the greater Seattle area offering cost effective solutions to security guard and patrol services as well as facilities management services. Armed and unarmed professionals available to meet all client requirements.
Quantom Solutions LLC,Quantum Solutions,veteran-owned,David R Storr,905 West Riverside Ave Suite 603,Spokane,WA,99201-1099,"Turn key Office Furniture Sales and Installation. CVE certified Service Disabled Veteran Owned Small Business. Full Service Furniture Dealer specializing in Space Planning, Computer Aided Design, Project Management, and Installation. Pricing terms and conditions are based upon manufacturer's GSA or BPA terms for each project. We specialize in Systems Furniture, Workstations, Executive Offices and Conference Rooms, Task Chairs and Desking, Wood and Laminate Furniture, Tables, Chairs, Height Adjustable Furniture, K-12 and Higher Education Furniture, Casegoods, Storage, Warehouse Storage, Office moving and reconfiguration"
"URBAN BUGGY LLC, THE","Urban Buggy Farm, The",veteran-owned,DENNIS  T Comer,308 22nd Ave S Ste 101,Seattle,WA,98144-2260,"We are a distribution company, specializing in the procurement of personal protective equipment, cosmetics/beauty products, and some specialty food based products"
"BURTON CONSTRUCTION, INC.",,veteran-owned,JERRY  BURTON,3915 E NEBRASKA AVE,SPOKANE,WA,99217-6641,"SBA Region 10 Prime Contractor of the Year 2000, Rising Star Award 2003 & 2004. Renovation, new construction,bridges,security,concrete,carpentry, painting, masonry,roofing, demolition, excavation,utility work,lead paint abatement,mechanical,& electrical."
Advanced Technology Construction Corporation,,veteran-owned,Dennis Farrow,3828 E Portland Ave,Tacoma,WA,98404-4620,"ATC is a General Contractor specializing in Industrial and medical Construction & Federal Contracting; Design Build, Medical Office & Hospital Renovations as well as Cleanroom and Data Centers. ATC is also able to perform Site/Civil work, Roofing & Raised Access Flooring. Current area of operations include, California, Oregon, Washington State, Idaho, Alaska, Montana, and New Mexico."
WINKLER-NNAC JV,,veteran-owned,Regina  Lettau,5516 N STARR RD,NEWMAN LAKE,WA,99025-8609,"GENERAL & SPECIALTY CONSTRUCTION, HEAVY CIVIL AND CONCRETE"
PCI Pest Control Inc.,,veteran-owned,Matt A Purcell,2812 Pacific Ave SE,Olympia,WA,98501-2039,"Pest Control Services, Pesticide Application for Extermination of termite, ant, cockroach, spider, bee, wasp, bedbug, flea, fly, rodent, mouse, rat, bird control. Herbicide application for vegetation & weed management, right of way, tree & shrub spraying"
"U. S. Wax & Polymer, Inc.",USWP Manufacuring,veteran-owned,Scott Messingale,17625 East Euclid Ave,Spokane,WA,99216-1737,"Our company began in 1992 with the vision of making a measurable difference and creating the most advanced manufacturing facility possible by utilizing tomorrow’s technology today. We are a turnkey manufacturing company with job shop capabilities. DESIGN & ENGINEERING METAL STAMPING PROTOTYPING POLISHING CNC MACHINING INJECTION MOLDING SURFACE FINISHING ASSEMBLY Quality assurance and excellent customer service are our first priorities. We can deliver throughout the Inland Northwest; but produce components and parts that are shipped internationally. At USWP Manufacturing we constantly strive to improve our skills, quality standards and manufacturing efficiencies to produce products of the highest quality. Through ongoing training, research & development, attention to detail and a dedication to excellence, we guarantee a final product manufactured to strict tolerances for unmatched quality. YOU IMAGINE IT, WE MAKE IT."
"MedLog Solutions, LLC",,veteran-owned,Jeff Skillicorn,21621 118th St E,Bonney Lake,WA,98391-7808,
KAPOWSIN AIR SPORTS LTD,,veteran-owned,KERI  BELL,141 W AIRVIEW WAY,SHELTON,WA,98584-1283,
68J Medical LLC,,veteran-owned,VEGAS WANG,14805 68th Ave E,Puyallup,WA,98375-7004,"Millions of Surgical masks, FDA EUA approved KN95 respirator, Protective Gown, gloves, isolation face shield, isolation eye wears."
"ZIEMEK DENTAL LABORATORY, INC.",,veteran-owned,Barbara A Andrews,2310 Mottman Rd Sw Tumwater,Tumwater,WA,98512-6232,"Full Service Digital and Traditional dental laboratory, providing both removable and crown and bridge dental restorations. Primary focus of expertise is in digital workflow, reduction of time and cost to dental practitioners.100% Specializing in digital workflow, 3 day turnaround modeless restorations available."
"Eastside Saw & Sales, Inc.",,veteran-owned,SUSAN J BEETHAM,12880 Bel Red Rd Ste 1,Bellevue,WA,98005-2695,Sharpening metal and wood cutting blades sell wood and metal cutting tools CNC manufacture custom bandsaws
"Chet Williams Construction, Inc.",,veteran-owned,Troy W Williams,12126 SE 284th St,Auburn,WA,98092-4004,
"B.R. MANAGEMENT SERVICES, INC.",,veteran-owned,ROBERT G RETTIG,2187 HAMMOND AVE,DUPONT,WA,98327-9771,"postal service, landscaping service, custodial service, and food service contractor, security guard"
Cortinas Painting Inc,,veteran-owned,Ian Cortinas,700 Yuma St,Milton,WA,98354-8952,Commercial Painting-Interior/Exterior Tenant Improvements Water Repellant Pressure Washing Graffiti Removal
BCE Construction Inc,BCE CONSTRUCTION,veteran-owned,SAMUEL ROSS,1135 LAKE WASHINGTON BLVD N UNIT G212,RENTON,WA,98056-2943,"236118 Renovation, addition and rehabilitation for Residential Construction: Over 25 years of experience in working on rehabilitation projects, demolition, re-configuring rooms, bearing wall handling, engineering engagement on technical details.  236220 Commercial Building Construction: Over 6 years working on projects from design, build, to additions.  238330 Flooring Installer for Carpet, Hard Surfaces, and Wood Installation: Over 12 years of experience in installation of carpet, hard surfaces, and wood.  238340 Stone, Ceramic, Floor Leveling, All Tile and Natural Stone Flooring Installation: Over 6 years of experience in installation of all tile work, grouting, and backboard installation."
"Puget Sound Repair, Inc.",PSR,veteran-owned,Jim Shreve,7410 5th Ave S,Seattle,WA,98108-4112,Steel and Aluninum Fabrication and Vessel Repairs
Octanium Corporation,,veteran-owned,Michael Harvey,6326 34th Ave SW Unit C,Seattle,WA,98126-3176,"CYBER SECURITY & INFORMATION ASSURANCE Octanium Corporation works with clients to resolve current and emerging cyber security challenges. We extensive years of experience in defining and formulating information security processes and procedures to help clients maintain a secure posture during and after the engagement. The company delivers creative solutions that help meet clients' budgets and tight deadlines. PROGRAM & PROJECT MANAGEMENT Octanium’s Program, Project and Process Management Group offers dedicated seasoned and trained professionals that bring their real-world experiences to the client's scenarios. The subject matter experts work with their clients, both offsite and onsite. NIST RISK MANAGEMENT FRAMEWORK (RMF) Certified expert Security Control Assessment and Validation services to achieve Authorization to Operate for any size system in accordance with NIST RMF. We help transition from DIACAP to RMF and provide security engineering to stay compliant and secure."
"Anderson Environmental Contracting, LLC",AEC,veteran-owned,Michael Boffing,705 Colorado St,Kelso,WA,98626-5506,"Demolition, enviro cleanup, stream-habitat improv, excavation, vac. truck services, land clearing, bridge culvert install, storm water install, UST removal cleanup/install, land clearing, wetland mitigation, dredging, marine cleanup, fire range cleanup"
"5 STARS LLC, THE","5 SHINING STARS, THE",veteran-owned,Peter Nguyen,20135 18th Avenue Ct E,Spanaway,WA,98387-1864,
J B KERR CONSTRUCTION,,veteran-owned,John Kerr,1117 NW 5TH AVE,CAMAS,WA,98607-2601,"REMODELING OF COMMERICAL BUILDINGS & TENANT IMPROVEMENT - ACOUSTICAL CEILING INSTALLATION; SHEETROCK, DRYWALL AND STEEL STUDS INSTALLATION; PAINTING, WALL FINISHES, DOORS,FRAMES AND HARDWARE. ALL PHASES OF GENERAL CONTRACTING."
"Solomon Park Research Laboratories, Inc.",,veteran-owned,Wayne M Kerr,658 S 152ND ST,BURIEN,WA,98148-1111,"Since 1984, Solomon Park has been supplying laboratories across the globe with the highest quality frozen serum and frozen plasma products. Serum and plasma is shipped fresh or frozen and is obtained from donors with known analyte values. Our products are often used to establish quality controls and to develop standards and proficiency testing materials by outside laboratories."
APEMS Solutions LLC,,veteran-owned,Richard Axtell,22625 SE 281st St,Maple Valley,WA,98038-8108,"APEMS Solutions LLC (Axtell’s Professionals in Emergency Management, Safety, and Security) is a certified Service Disabled Veteran Owned Small Business (Certified) located in Maple Valley, WA. Our high quality professional services include providing services and support in emergency and environmental planning; disaster preparedness; security strategic planning, threat management, and vulnerability assessments; governmental consulting services; and providing both workshops and table-top exercises in topics ranging from active shooter/active assailant, to NIMS and the Incident Command System. We also provide organizational assessments, policy and procedure development, and lean management development. For our products, we provide AMMEX disposable gloves (Medical, Industrial and Food Grade), and emergency kits."
Hughes Group LLC,"HG SOLUTIONS, DIA-MO CLEAN, TOP CHOICE SUPPLIES",veteran-owned,PATRICK L. HUGHES SR.,3701 S Lawrence St,Tacoma,WA,98409-5717,"Logistics,Aircraft Maintenance,Janitorial, Janitorial, Consulting, Warehousing, Food Services, Computers, Facility Maintenance, Transient Alert, Security Systems, Custodial, Food Service, Animal Care, HAMS, Antiseptic Cleaning, Hospital, Housekeeping"
"Signal Hound, Inc.",,veteran-owned,Melissa Harmon,1502 SE Commerce Ave Ste 101,Battle Ground,WA,98604-0000,
"TRANS 360, INC.",,veteran-owned,Sherri L Cheney,201 HIDDEN SPRINGS RD,KALAMA,WA,98625-9845,Driver training needs and development. We come to your location. Defensive driving programs for driving in the mountains.
Aquatech Solutions America Inc.,,veteran-owned,Daniel Richardson,1465 Slater Rd,Ferndale,WA,98248-8919,"At Aquatech Solutions, we believe in doing the job right the first time and making things easy for our clients. We apply our professionalism and 30+ years of combined construction experience to every project, ensuring the highest level of quality, customer satisfaction, and peace of mind. Our clients' appreciate that we take ownership of our projects and sweat the details, so they don’t have to. We’re honored that our clients ask for us by name… we've worked hard to earn it."
"CONTINENTAL DOOR COMPANY, LLC",,veteran-owned,Norman V MORSE,12718 E INDIANA AVE,SPOKANE,WA,99212-1117,Provide and install overhead doors and operable partitions.
"Westek Marketing, LLC",WesTek Marketing,veteran-owned,Jesse J Enfield,7415 W RIDGECREST AVE,NINE MILE FALLS,WA,99026-8620,"Service, installation and support of Digital Logging Recorders, AM Broadcast Stations, Automated Notification Systems, Radio communications command and control, IP radio communications, Radio interoperability, 911 Telephone systems."
"Blue Heron Group, Inc.",Washington Machine Works,veteran-owned,Richard Stewart,5211 1st Ave S,Seattle,WA,98108-2205,"Our full-service machine shop can machine most any part you need. We specialize in small volumes, large parts and hard-to-work materials and provide machining and light fabrication services. We can make one-off jigs and fixtures as well as short production runs of parts. 10-ton crane capacity, Turning up to 16-feet and milling up to 12-feet. We have a quality manual, rigorous inspection procedures and calibrated test equipment."
"ERLANDSEN & ASSOCIATES, INC ",,veteran-owned,Kris Erlandsen,250 Simon St,EAST WENATCHEE,WA,98802-7710,"Since 1986, Erlandsen & Associates, Inc. has provided Professional Surveying & Mapping services to Washington State. We also provide Geographic Information Systems development, assistance, and training. We have recently expanded our existing services to include UAV (drone) capabilities. This allows us to deliver very high- resolution ortho mosaics, high resolution digital elevation models, digital terrain models, and air-borne photography and videography to our clients."
"TECHNICAL TRAINING MALL, LLC",,veteran-owned,David E Faulkner,1708 Castillo Court,Richland,WA,99352-8614,"Provider of classromm training, developer of custom training on request, provider of senior professionals for staff augmentation in quality assurance, nuclear safety, maintenance, conduct of operations."
"Dry Box, Inc.",,veteran-owned,KIRK  A Vigre,132 Estep Rd,Chehalis,WA,98532-8705,"rent and sell new and used steel shipping containers, storage containers and cargo containers. Modifiy shipping containers with doors, windows, vents, lock boxes ect."
R & R Group LLC,R & R Party Rentals,veteran-owned,Troy Roper,10920 Northup Way,Bellevue,WA,98004-1414,We are a full service party rental company servicing the state of Washington. We are also a full service equipment rental company for construction. www.rr-rentals.com
"PEP TALK PUBLISHING, LLC",Pep Talk CAP,veteran-owned,Lorraine Scott,4070 N Deer Lake Rd,Loon Lake,WA,99148-9746,"Publisher of inspirational, educational, and motivational products to include books, music and office supplies; performance coaching, and inspirational speaker."
"James A. Wright Construction, LLC",,veteran-owned,JAMES  A Wright,19108 Francis Ln,Winthrop,WA,98862-9783,"Septic design, sptic pumping, portable restrooms, excavation, gravel hauling, water lines, septic system installation."
"LINOLEUM & CARPET CITY, INC.",,veteran-owned,Pete CARUSO,1426 W FRANCIS AVE,SPOKANE,WA,99205-6769,"We are SDVOSB VA certified full service floor covering retailer/contractor specializing in the sales, service, & installation/maintenance of all floor covering products; residential, commercial, & industrial as well as; window treatments, counter tops"
Purpose Investment Group LLC,Bumble Bee Management,veteran-owned,Matondo Wawa,917 Pacific Ave Ste 306,Tacoma,WA,98402-4434,"We provide management consulting services, leadership development, process improvement, six sigma training and full support logistics services. We specialize in growing people and organizations; enhancing interpersonal aspects of the organization while improving operational efficiency and service delivery. Our CEO Dr. Matondo Wawa is an accomplished veteran of Department of Defense with an extensive background in leadership training, as well as a track record of success in program development, personnel management, supply chain, and training operations. Outstanding performance in all capacities across many years of service, highlighted by numerous awards and commendations. Superior communicator, coach, and leader capable of cultivating key relationships and collaborating with diverse people and entities."
Unique Experience Custom Emb Inc,Unique Experience,veteran-owned,RONALD  D FLEMISTER,623 N CALLOW AVE,BREMERTON,WA,98312-3903,"Custom Embroidery, Screen Printing, Sewing, and Advertising Specialies"
CHARLES PRATT CONSULTING INC,,veteran-owned,Charles Pratt,877 JUNIPER BEACH RD.,CAMANO ISLAND,WA,98282-8824,"Management and OD Consulting: Leadership Development, Teambuilding, Conflict Management, Coaching, Interpersonal Skills Training, Dialogue, Emotional Intelligence, MBTI, FIRO-B, EQ-i, Conflict Dynamics Profile, CPI-260, Lominger Voices, Communications"
"Pacific Northwest Business Products, Inc.",NuLeaf Office Solutions,veteran-owned,Tracy Savage,5825 221ST PL SE STE 205,ISSAQUAH,WA,98027-8927,"SELL: LASER Printer Cartridges both new and remaufactured , INK JET CARTRIDGES - REMANUFACTURED and new, FAX cartridges both new and remanufactured"
"CSM, LLC",,veteran-owned,Chris Fulton,10307 41st Trl SE,Olympia,WA,98513-9320,"CSM, LLC is responsible for the overall coordination of a project. CSM, LLC must first assess the project-specific documents (referred to as a bid, proposal, or tender documents). In the case of renovations, a site visit is required to get a better understanding of the project. Depending on the project delivery method, the contractor will submit a fixed price proposal or bid, cost-plus price or an estimate. CSM, LLC considers the cost of home office overhead, general conditions, materials, and equipment, as well as the cost of labor, to provide the owner with a price for the project. Contract documents may include drawings, project manuals (including general, supplementary, or special conditions and specifications),and addendum or modifications issued prior to proposal/ bidding ad prepared by a design professional, such as an architect. The general contractor may be the construction manager or construction manager at high risk."
"SBC GLOBAL CONSULTING, LLC",,veteran-owned,Sterling K Carter,12905 NE 56TH ST,VANCOUVER,WA,98682-2288,"SBC Global Consulting, LLC helps organizations maximize productivity by reducing waste, driving cost effectiveness, and building lasting relationships between stakeholders. We are a domestic company with global perspectives."
"Energy Systems Management/TRS, Incorporated ",TRS Mechanical ,veteran-owned,Clay Hand,113 168th St S,Spanaway,WA,98387-8226,"We install and service all types of heating, ventilation, air conditioning, and refrigeration equipment. We specialize in the Tridium DDC system also known as Vykon, Honeywell Webs, etc."
"WORLDAWAKE, INC.",,veteran-owned,JENNIFER  CAMPBELL,1573 NW 6TH AVE,OAK HARBOR,WA,98277-9299,"worldAWAKE, Inc. provides tailored, comprehensive leadership development solutions rooted in best-in-class executive coaching and solid needs-based application. We specialize in Executive Coaching, Team Performance, Partnering and Facilitation Services."
"Haas II, Eugene C",RED WHITE & BLUE SNOW PLOWING,veteran-owned,Eugene C Haas II,11 N PINE CONE LN,MEDICAL LAKE,WA,99022-8789,"Provide snow plowing, Ice control, and Snow removal"
Alpha Sales Technologies LLC,Alpha Sales,veteran-owned,KEN S MATTSON,1450 Castlerock Ave Apt 903,Wenatchee,WA,98801-2586,"Worldwide distributor of Automatic Earthquake gas shut off valve for all sizes of natural gas and LP gas lines for homeowners and industrial use. Manufacturers representative for fabrication of steel tanks, gas and oil equipment, potable water tanks."
"Neighbors Moving & Storage of Seattle, LLC ",,veteran-owned,Joseph Tranisi,18409 Cascade Ave S,TUKWILA,WA,98188-4714,"Moving, Office Moving, Storage, Relocation, Moving services, Local Moving, Interstate Moving, Long Distance Moving, Moving & Storage, Office Relocation, Residential Moving, Business Moving, Delivery, Delivery services, Furniture delivery"
"SURECRETE, INC.",,veteran-owned,JEFFREY D STOKKE,155 NE 100TH ST STE 300,SEATTLE,WA,98125-8014,"SHOTCRETE EQUIPMENT, MINING & TUNNELING EQUIPMENT & SUPPLIES, CEMENT, GROUT, CONCRETE PUMPS, SHOTCRETE MIXES IN BULK BAGS, RESTORATION MIXES (SMALL OR BULK BAGS), INDUSTRIAL MIXERS."
"Proctor Products Co., Inc.",,veteran-owned,Aaron M Jones,6015 180TH ST NE STE 109,ARLINGTON,WA,98223-6042,"Proctor Products is a one-stop partner for metal and plastic manufacturing, from material processing, 3- and 4-axis precision CNC machining and lathe, and welding, to complete electrical/pneumatic assembly, inspection, and functional testing. We have been manufacturing high-quality custom one-off and high-volume prototypes, components, metal fixtures, jigs, and large platforms for over two decades. We are comfortable working with very tight tolerances, and typically do all work in-house or manage integration across a select group of trusted partners. 25 employees who are focused on lead-time and cost improvements and dedicated to the company."
"Controltek, Inc.",,veteran-owned,Andy LaFrazia,3905 NE 112th Ave,Vancouver,WA,98682-6772,Design and manufacture of custom electronic devices/controls. SDVOSB.
REV LLC,,veteran-owned,R.J.  Naugle,10011 Bridgeport Way SW Ste 1500,Lakewood,WA,98499-2332,"REV Consulting is a proven team of experienced technologists, consultants, solution architects, developers, and thought leaders that are committed to driving purposeful work across sectors and agency. REV is a full-service technology consulting firm with over a decade of high-tech experience: Veteran Owned and Operated since 2011 developing high-impact products and services. Contact us today for your technology and business solution needs."
"ISLAND MARINE INSTRUMENT CO, INC.",,veteran-owned,WILLIAM  S Haimes,2214 BROADWAY,EVERETT,WA,98201-2322,"Service and sale of optical/mechanical marine navigation instruments. Including magnetic compasses, sextants, alidades and peloruses. Magnetic compass compensation or adjusting underway on vessels. Steel vessels a specialty. Will travel to any port."
Sound Waterworks LLC,,veteran-owned,Andrew Bauer,3305 31st Dr,Everett,WA,98201-4952,Licensed plumber with 15 years experience with residential new construction and remodels. Drain cleaning expert as well as repair and trouble shooting with all plumbing issues. Water Heater installation and repairs.
"TEEPLES, JOE",WE'RE INTO SAFETY,veteran-owned,JOE  TEEPLES,1015 S 233 PL,DES MOINES,WA,98198-7442,"Safety Training, OSHA Compliance, Disaster Training, Safety Audits, Safety Presentation Material, Powerpoint Slides"
Elliptic Systems Corporation,,veteran-owned,ERIC STEFANIK,9019 EVERGREEN WAY,EVERETT,WA,98204-7117,"Resellers of Computer Systems & Accessories for Mainframe/Midrange Servers, Workstations, Desktops and Laptops. Specialize in UNIX and Windows Hdwr, Virus & Spyware Removal, Maintenance & Svc Repair Contracts and Svc on all products provided."
"Norse Sound Creative, LLC",,veteran-owned,David Janklow,16107 Ascension Way,Mount Vernon,WA,98273-8645,"Norse Sound Creative, LLC is a full service digital marketing agency. Specializing in website design, website maintenance, mobile application development, graphic design and online marketing for small, midsize and large businesses and organizations throughout the United States."
"Elite Performance And Learning Center, PS",,veteran-owned,Joseph Trachtman,5008 Pullman Ave Ne,Seattle,WA,98105-2138,"We manufacture and distribute the Zone-TracⓇ AR (augmented reality) device. The device trains enhanced vision, concentration and relaxation and is based on NASA research."
DOSTOYNIY COUNSELLING SERVICES,,veteran-owned,LETA  R Berkshire,29010 40TH AVE S,AUBURN,WA,98001-2519,Provide vocational and mental health counseling. Provide expert vocational witness testimony for Social Security Office of Hearings and Appeals.
"Velosys, LLC ",,veteran-owned,Christopher Wade,18804 Front Street Suite 200,Poulsbo,WA,98370-7351,"Velosys provides expert software development and IT engineering services, including geographical information systems that enhance 3d data visualization and mobility strategies."
"One & Done, Inc",,veteran-owned,Michelle Wieman,106 Goldenrod St,Port Orchard,WA,98366-1939,
Lee Rose Inc,Maben Trucking And Excavating,veteran-owned,CINDY B MABEN,1635 McDonald Tracts Rd,Grayland,WA,98547-0000,"General Contractor, Total Site Preparation - excavation,ground preparation, material placement, fill, gravel, utilities, septic installation, Road Building, Trucking - Dump Trucks, Water Line & Fire Line Installation."
SHARP EXCAVATION INC,,veteran-owned,Angelina Sharp,16316 W DENO RD,MEDICAL LAKE,WA,99022-8790,"Sharp Excavation provides services that include underground utility repair and install, Trench digging, water lines, sewer and septic tanks, backfilling, tree and grub clearing, road building, concrete sidewalks and driveways, hauling"
"Crux Diving, Inc.",,veteran-owned,Dave  Cleary,6805 NE 175th St,Kenmore,WA,98028-3502,"At CRUX Diving and Salvage Inc, we provide responsive services for underwater construction, ship maintenance and repair, marine construction and salvage."
11/15 Industries LLC,,veteran-owned,Gary Kelley,6432 NW Redfern Ct,Silverdale,WA,98383-9336,"At 11/15, we do not see the world as it is but how it could be. One of our main priorities is to help the nation and industrial base transition from a 'tactical,' or near-term, planning strategy to that of a 'strategic,' or long-term, visionary mindset by providing innovative ways of addressing problems, identifying opportunities for improvement, and implementing solutions that have a high return on investment."
"Radixos, LLC ",,veteran-owned,JOHN  M WATERS,13975 INTERURBAN AVE S # 200,TUKWILA,WA,98168-4721,"Radixos is capable of planning, procurement and management of equipment and furniture installation including medical equipment. Radixos also provides computer programming and database programming for use in-house and also for clients."
S.E.A. CONSTRUCTION LLC,,veteran-owned,JOELLE  BUCKMAN,53 ELK CREEK RD,RAYMOND,WA,98577-9214,"Heavy civil construction, dump trucking"
STARLING IOT LLC,,veteran-owned,William Flynt,539 Broadway,Tacoma,WA,98402-3907,"Starling IoT is an embedded systems/data intelligence company. We collect, organize, and manage data to make existing processes more efficient and more effective. Examples can be as simple as dashboard creation for information monitoring, or as complex as fully automated heavy equipment operation. Our specialty is mobile object tracking and sensor data. We also create entirely new processes that replace error-prone human ones. Starling IoT can turn your common objects into sensors or interactive items, creating new possibilities in your enterprise. Connect your organization and its things and transform the way you operate with Starling IoT."
